,CK19_cytoplasm,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,ER_nuclei,batch
JE-TMA-41_scene01_cell3355,0.00255068807504064,0.02287108538053879,0.25994647521382824,0.3483144834860327,0.16634755792033507,0.20139185070353002,0.24769441654581573,0.20838846747861495,0.2557673828338237,0.5592518703158412,0.1311017864487651,0.061028761154041274,0.2648025137318254,0.016694430327463424,0.031241971191054107,0.0048546813112547785,0.0031776333288624655,0.0068457070828774995,0.019442950981449002,0.0007789981108755299,0.15547418094534918,0.021014431688550824,0.010041705644635196,0.010840290806494741,JE-TMA-41
JE-TMA-41_scene01_cell1292,0.0020141823947948476,0.02273308335276422,0.08067950289463711,0.33773634757867727,0.5930687584189843,0.10453672991555109,0.7955526902403107,0.15722295216676285,0.3042915363592457,0.0505967382103741,0.1433508012160198,0.09088901369794593,0.02889599984062548,0.002718441466863986,0.018696071738723955,0.0003438624907068725,0.005093679680313891,0.006651885494968295,0.01109578288487853,0.0007392024019269612,0.04036626979319877,0.029847268287795284,0.011070796406537787,0.012236151682004464,JE-TMA-41
JE-TMA-41_scene01_cell1784,0.0016145839906396952,0.019875897942872072,0.15584974838830523,0.07134254321360194,0.6684674304667326,0.032953966685780885,0.9002339844349427,0.14804685921496813,0.28536514733948776,0.05200008915568707,0.37157191904765197,0.02403956840072508,0.04817042733074857,0.00684835685046347,0.017484448084500483,0.0001427099528672033,0.0013117286781698769,0.007446941772040226,0.008693517078567999,0.001750545348846091,0.04844745593227891,0.006517532076355089,0.0021485092769472436,0.016442609241766173,JE-TMA-41
JE-TMA-41_scene01_cell2440,0.0003925918795230558,0.019967995623815876,0.16702174399259603,0.0876427278352813,0.3086557334938711,0.026068535109683495,0.3938285677008759,0.02515995891894223,0.11550209857814121,0.013060379615444205,0.12541322273766198,0.03164003813687246,0.017138388912348285,0.01974624283297934,0.019872629572022942,0.0006847824779058684,0.003513822473176485,0.0068323588633273,0.003374538355506347,0.0014807478644406511,0.021153405419572092,0.012873755475886343,0.010562654624726322,0.02383128435074225,JE-TMA-41
JE-TMA-41_scene01_cell2353,0.0011653061480970547,0.025058025832204043,0.21503374377931778,0.07056675069416035,0.9289548062448051,0.06036098987992135,0.7756871996621988,0.1158940707994522,0.3644561144940137,0.04534021180933932,0.2953278031123109,0.07357534614429412,0.025998788604089437,0.02015149901837164,0.018603700295624286,0.0006463211205056305,0.0032987175372734137,0.008464658369124899,0.008465942842254454,0.0015940814032988383,0.06018238595743271,0.021720524290514496,0.010371240903624858,0.030197515849766897,JE-TMA-41
JE-TMA-41_scene01_cell2415,0.0015317577412967125,0.019991931780494132,0.20530228489868257,0.2925521321571217,0.46336826293131483,0.1437783080706657,0.6337347194424349,0.1083039500919616,0.29404431211173127,0.07578981822292047,0.2713942982319992,0.19794984055556272,0.11373202493483583,0.029137832389147703,0.01749203046021439,0.00014396029890795408,0.0007917866639147601,0.008236338786752251,0.01657910188307418,0.0024048287358989194,0.06849858076445879,0.020445537058262273,0.00749218668490366,0.03270697958390025,JE-TMA-41
JE-TMA-41_scene01_cell3112,0.0025848792381636646,0.020162779042239464,0.1757788345002839,0.3934143113457259,0.17274292546374367,0.29745530333614456,0.333238022532135,0.1297385960627685,0.25592004317770767,0.2799097866953005,0.16078834723755436,0.0671122290216436,0.08355553394474129,0.0002955623738461182,0.020406322509416742,0.002101439174485266,0.002247945175870518,0.006433581192983492,0.015445585358144559,0.00024114511375787094,0.04060501090651329,0.0062571767728257675,0.0030188442259598504,0.005227511741566271,JE-TMA-41
JE-TMA-41_scene01_cell512,0.000699800830683533,0.020111122542522314,0.06940940926751443,0.2876449656239294,0.20380243586074515,0.04036077893206641,0.150101507479993,0.07313564652592518,0.16632190617678377,0.041997271067058924,0.10343817627134475,0.02178081250839322,0.023479269909418524,0.002624605481904177,0.017626449517299806,0.00044676414166455557,0.008386988650165753,0.008058609656968158,0.016992769320032068,0.05448245017851743,0.04673068183245047,0.034628142719589916,0.004085668045687556,0.016680212144265974,JE-TMA-41
JE-TMA-41_scene01_cell84,0.003207778608304441,0.021299735861057344,0.007551442868184821,0.4761595155459231,0.2117057841850842,0.04343896397041138,0.24537478974447666,0.01993891711808129,0.2126366564137863,0.026408770681061594,0.09236712305205502,0.4174692361950862,0.004907545762477885,0.0,0.015447942602096924,0.00018047681505660784,0.006597209745628491,0.00631298332562391,0.03439719133139853,0.17912672502338656,0.03552988152955375,0.08064759454586837,0.032632245372582906,0.0080102182543004,JE-TMA-41
JE-TMA-41_scene01_cell2548,0.0014708652655443736,0.017373146876967418,0.07791889419622457,0.05556354481020527,0.15402480530422696,0.02387153273807097,0.0700831326893304,0.012524280798371203,0.04453884757561765,0.006751192006221915,0.04379003461996762,0.0022821969266495984,0.003713432994886497,0.00263265248337871,0.01675971191163207,0.0005212628145132794,0.003785256312996532,0.008234599911378803,0.0011818645540592788,0.0014715741415353054,0.03651453641204955,0.006310410766910245,0.007235946359026323,0.026448571269926346,JE-TMA-41
