,CD20,CD3,CD4,CD44,CD45,CD68,CK14,CK19,Ecad,ER,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene11_cell2650,0.38802832,0.6465901,0.750335,0.3175199,0.5602731,0.39062738,0.93126565,0.15100838,0.49136177,1.06849,0.5530268,0.2964382,0.2194482,JE-TMA-41
JE-TMA-41_scene11_cell3062,0.17262974,0.17869948,0.05313473,0.5108614,0.3915492,0.31568593,0.5403874,1.0626327,0.44579366,0.56268626,0.20478293,0.019347455,0.16609111,JE-TMA-41
JE-TMA-41_scene11_cell2546,0.54577255,0.38673112,0.57119006,0.11805551,0.534349,0.37674686,0.48716637,0.30567184,0.31856015,0.6931019,0.6433197,0.24467671,0.3827027,JE-TMA-41
JE-TMA-41_scene11_cell3377,0.49744806,0.29086784,0.5226737,0.32989645,0.6767233,0.47358775,0.37934658,0.1885431,0.29184407,0.12257891,0.61147296,0.34295413,0.37274164,JE-TMA-41
JE-TMA-41_scene11_cell2243,0.6473059,0.5068759,0.9328058,0.16084293,0.71075046,0.71222174,0.5637469,0.6136103,0.646297,0.72599524,0.9368821,0.5084479,0.16440494,JE-TMA-41
JE-TMA-41_scene11_cell2822,0.8153841,0.4885154,0.52235425,0.29820994,0.51622975,0.57931864,0.99106675,1.130971,0.3604271,1.230013,0.35317397,0.054803435,0.12810652,JE-TMA-41
JE-TMA-41_scene11_cell1020,0.725691,0.4017313,0.5954943,0.5571445,0.55720055,0.5489542,0.8445582,0.40181968,0.41758332,0.48633888,0.65192115,0.36375147,0.34905073,JE-TMA-41
JE-TMA-41_scene11_cell2770,0.27542716,0.61038655,0.47962004,0.71987957,0.5391306,0.3212587,0.9408413,1.9206204,0.33626217,0.9881283,0.50255233,0.06456762,0.12130271,JE-TMA-41
JE-TMA-41_scene11_cell2245,0.7237707,0.43542793,0.73650944,0.14387393,0.721881,0.5218226,0.84756285,0.34078518,0.57540727,0.36648074,0.28292957,0.12532946,0.19108215,JE-TMA-41
JE-TMA-41_scene11_cell2259,0.284104,0.2144154,0.43656644,0.61874765,0.5248462,0.4155135,0.5754729,0.28102455,0.41051835,0.4176238,0.27754962,0.08053346,0.31882852,JE-TMA-41
JE-TMA-41_scene11_cell1062,0.731327,0.52990735,0.7946703,0.35784587,0.65764034,0.67203915,0.5891736,0.20355645,0.54474074,0.46206504,0.7322605,0.3831849,0.38324058,JE-TMA-41
JE-TMA-41_scene11_cell2726,0.62377876,0.41584054,0.6483892,0.2144396,0.59406275,0.6722301,0.69227326,0.2730775,0.4735423,0.34413606,0.6800741,0.30385393,0.65824765,JE-TMA-41
JE-TMA-41_scene11_cell970,0.58851284,0.27650997,0.4216689,0.36880645,0.51334494,0.5880985,0.7162272,0.47924536,0.35071996,0.46551582,0.67776793,0.2132048,0.21762128,JE-TMA-41
JE-TMA-41_scene11_cell3583,0.4117415,0.24818888,0.7115532,1.0004007,0.5609388,0.90731066,0.91258454,0.5798494,0.59081393,0.26403755,0.52118313,0.4767014,0.5051091,JE-TMA-41
JE-TMA-41_scene11_cell2831,1.0933999,0.72863567,0.97892505,0.3052282,0.83058566,0.45794946,0.96605533,1.3084478,0.6108115,0.7599928,0.8086286,0.52055854,0.61558115,JE-TMA-41
JE-TMA-41_scene11_cell1547,0.37435216,0.19202174,0.33701268,0.10189001,0.37904036,0.27991578,0.55326927,0.079538934,0.2458537,0.4756704,0.4614218,0.15578759,0.1363541,JE-TMA-41
JE-TMA-41_scene11_cell1507,0.6989214,0.41977355,0.5771039,0.24196689,0.58341813,0.5275547,0.654959,0.48737127,0.6445097,0.26627097,0.58429724,0.19984038,0.25453585,JE-TMA-41
