,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell1611,0.1755621,0.52970374,0.49853072,1.1945795,0.56443244,3.1573648,0.6283011,0.98961884,1.7287185,0.9324929,0.6972129,0.029663865,0.0064742584,0.08957368,7.699134e-05,0.12552115,0.010485104,0.011928154,0.18419737,0.09789084,0.009105848,0.37368503,0.1222798,0.0683256,JE-TMA-41
JE-TMA-41_scene01_cell499,0.2346405,0.49886104,0.58826274,1.0286783,0.3007479,2.6591914,0.63842404,0.8611661,0.45402306,0.9250952,0.47135514,0.50039226,0.058493394,0.09726579,0.0057893717,0.12488994,0.029723357,0.01981001,0.37022167,0.12128141,0.016920105,0.4283918,0.17871097,0.1762254,JE-TMA-41
JE-TMA-41_scene01_cell3037,0.2087658,1.3355267,0.56219506,1.1129336,0.919715,2.9862173,1.171247,1.2462088,0.29472157,0.92496717,0.47650626,4.0117836,0.19517756,0.11876898,0.035000943,0.13105704,0.01844748,0.017012907,0.19383045,0.040684607,0.0013070153,0.38294232,0.12670028,0.09302604,JE-TMA-41
JE-TMA-41_scene01_cell3614,0.19503044,2.704756,0.18813074,1.2263743,0.40709692,3.139183,0.7319418,0.9122216,1.3128132,0.95317733,1.0862848,0.19176579,0.35795707,2.8903382,0.45847318,0.30862063,3.277105,0.038111154,1.4092861,0.033973586,0.03395929,0.42292652,0.18201992,0.072739646,JE-TMA-41
JE-TMA-41_scene01_cell2893,0.14743066,1.5049509,0.12910594,1.0680308,0.37939915,1.0504696,0.2915701,0.7425408,0.06949573,0.73217523,0.5357735,0.11228187,0.3475842,0.11067458,0.012479372,0.122195445,0.017524654,0.016165007,0.17466494,0.18737543,0.005323729,0.57700974,0.07497307,0.0414163,JE-TMA-41
JE-TMA-41_scene01_cell2399,0.1782499,1.1551805,0.2137514,1.6813008,0.45213297,3.1631756,0.3892622,1.0237292,0.50098646,0.9946953,0.15533924,0.059574325,0.21985579,0.10022419,0.0015134842,0.12350701,0.003257094,0.019603645,0.17990835,0.15798585,0.0075424253,0.4084332,0.079727545,0.033418898,JE-TMA-41
JE-TMA-41_scene01_cell700,0.20751217,0.058008753,1.2632831,0.83768886,0.45876047,1.7281718,0.27596578,0.95231766,0.33983186,0.9992017,2.5314875,0.19432715,0.009362139,0.10360984,0.0043139774,0.12843867,0.020293491,0.014718355,0.2863379,0.09282237,0.27721068,0.36406592,0.4357573,0.10559226,JE-TMA-41
JE-TMA-41_scene01_cell2951,0.22886612,0.5685341,0.9455278,0.69961727,0.58507085,0.30553582,0.46360338,1.1614363,0.22150613,0.9941512,0.35090503,1.6306337,0.0009131869,0.08837006,0.0004400418,0.13309969,0.0024045883,0.018702883,0.19367316,0.0774407,0.0084543945,0.36641133,0.10868245,0.113666385,JE-TMA-41
JE-TMA-41_scene01_cell1938,0.14806163,0.4721446,0.2838809,1.0136553,1.4097011,0.7917505,0.5494576,0.83673084,0.054890968,1.8113185,0.380755,1.6255455,0.0460514,0.10044211,0.00019111237,0.12068719,0.0063176556,0.014790323,0.1730094,0.11112255,0.00844404,0.37437803,0.08808277,0.07322139,JE-TMA-41
JE-TMA-41_scene01_cell3506,0.17472628,0.916427,0.33539337,0.87710756,0.65174854,1.6229074,0.677187,0.8827064,0.47424242,0.57028043,0.30275068,0.44688457,0.13848995,0.12476611,0.017180689,0.12334255,0.013102421,0.016675387,0.18455224,0.057716202,0.000994999,0.3799556,0.08057458,0.110447355,JE-TMA-41
JE-TMA-41_scene01_cell3118,0.7364697,0.44675195,0.40700486,1.2488483,0.7178309,3.7771552,0.74455976,2.3901894,0.30867127,1.061761,2.6825032,3.9030993,0.063465364,0.10409048,0.02222677,0.12699744,0.013153786,0.016662551,0.19437186,0.6318403,0.0027698036,0.374283,1.1516961,0.13036259,JE-TMA-41
JE-TMA-41_scene01_cell548,0.16695867,0.09334705,1.2414386,0.83719164,0.39702627,1.2345906,0.18119857,0.8924584,0.51392084,0.75743425,2.702376,0.12723705,0.0015539327,0.10272927,0.0017575842,0.123831816,0.0208529,0.013910485,0.21492048,0.062118057,0.49806225,0.352456,0.7111712,0.14906704,JE-TMA-41
JE-TMA-41_scene01_cell1562,0.15121776,0.7057809,0.23899706,0.7717632,3.395735,1.4244376,0.9578397,0.7503281,3.0930238,1.0107317,0.5536554,0.057005886,0.0370313,0.10531964,0.005360648,0.12513845,0.011428425,0.013209348,0.1832091,0.12116719,0.023765765,0.51691467,0.10283878,0.04714997,JE-TMA-41
JE-TMA-41_scene01_cell219,0.19475931,0.4104378,0.7511119,0.77801615,0.58538234,1.2304597,0.31846422,0.9268631,0.25472143,0.7518112,1.4868857,0.1906689,0.011437453,0.09624806,0.004094642,0.13249372,0.027995298,0.018296346,0.28240234,0.043098904,0.017195523,0.38255072,0.07734566,0.11962219,JE-TMA-41
JE-TMA-41_scene01_cell2481,0.19407573,1.6203095,0.1390332,1.2178025,1.1178044,4.964875,0.61734587,0.9414926,0.7564229,0.8038713,0.33368772,0.06357819,0.100885965,0.102908164,0.002653804,0.124923825,0.008051308,0.018614022,0.2077109,0.15824889,0.0063591115,0.4579991,0.06996795,0.024545895,JE-TMA-41
JE-TMA-41_scene01_cell1422,0.1699255,0.8051744,0.13513324,0.88510424,0.5023905,1.2899182,0.6828635,0.7946024,0.27907643,2.0851746,0.06367917,0.23302726,0.054386962,0.08557324,0.00041986495,0.124664724,0.0040269434,0.015192073,0.18317422,0.0834923,0.0044426206,0.38816446,0.01416894,0.018512666,JE-TMA-41
JE-TMA-41_scene01_cell3270,0.49855694,0.4987615,0.24218993,1.4913963,1.4128495,2.3639274,0.8149053,1.6783966,0.15032756,1.0144944,0.5545709,1.1039892,0.04143412,0.09781737,0.0069352766,0.12341537,0.017432412,0.014978323,0.19213368,0.28880385,0.0687991,0.38820982,0.66034234,0.100886315,JE-TMA-41
JE-TMA-41_scene01_cell1154,0.17511038,0.3961348,0.8839158,0.87886876,0.19566752,0.909684,0.6724954,0.90567815,0.16955219,0.94503754,0.36384726,0.6195979,0.0013665581,0.09615871,0.00037398605,0.12525405,0.016247157,0.014845562,0.20605806,0.047634505,0.007572296,0.36980733,0.14455588,0.07863414,JE-TMA-41
JE-TMA-41_scene01_cell3396,0.20431559,0.66341954,0.55960035,0.9100268,0.11910032,3.1233506,0.81949556,1.152961,0.7323707,1.3074108,0.6035537,0.2826509,0.018619208,6.16187,1.1380259,0.13101414,2.2260475,0.018606875,0.6760435,0.16238618,1.9740072,0.5044916,2.0231726,0.047410116,JE-TMA-41
JE-TMA-41_scene01_cell1567,0.19938594,1.2544211,0.21799286,0.9589702,0.64092463,2.0036478,1.6302673,0.9616953,4.145055,0.77001643,0.26402706,0.82849956,0.45279542,0.10173948,0.0035996158,0.140397,0.008868811,0.013759239,0.19912255,0.052006844,0.006156285,0.63627124,0.040021583,0.025348838,JE-TMA-41
JE-TMA-41_scene01_cell233,0.17690918,0.81846255,0.17314981,1.0468262,1.137218,2.7272513,0.4938419,0.78224415,0.33753976,0.9203856,0.77284575,5.293312,0.006764463,3.9221675,1.0364366,0.17543632,1.5829751,0.014427547,0.35676643,0.17948307,0.014219065,0.47959426,0.112575136,0.033298206,JE-TMA-41
JE-TMA-41_scene01_cell2398,0.19253938,0.8931779,0.14599498,2.1930652,0.6167217,4.549463,0.56430775,1.075083,0.2442665,2.291379,0.67320204,0.22368887,0.11758086,0.10754041,0.0031473818,0.121624015,0.01566723,0.016197642,0.17650458,0.18922876,0.006666676,0.41376793,0.12796822,0.086785175,JE-TMA-41
JE-TMA-41_scene01_cell2911,0.19408283,1.120507,0.27143094,1.0923767,0.46107802,1.709531,0.69180053,1.0326539,0.2758056,0.7509588,1.9295712,2.9665549,0.1418097,0.1153475,0.035951413,0.13583815,0.012682986,0.031834655,0.18884407,0.049073864,0.014462536,0.6658464,0.1179977,0.12106486,JE-TMA-41
JE-TMA-41_scene01_cell852,0.1451214,0.041098487,0.5352365,0.76613045,0.1417787,0.4494943,0.085167766,0.65629995,0.06488631,0.29102623,0.441016,0.0066965534,0.004430216,0.11261414,0.0017566769,0.11948433,0.019357588,0.014648671,0.17038764,0.091468364,0.7515954,0.3481363,0.2796715,0.092735745,JE-TMA-41
JE-TMA-41_scene01_cell1183,0.18320535,0.2826547,0.93749756,0.7071297,0.46607596,0.39001438,0.7020983,0.8731197,0.24778083,0.861462,0.3068829,0.11965504,0.00049556507,0.09882425,0.00029156887,0.1249934,0.017024852,0.015217485,0.18431887,0.061398342,0.0030182304,0.37853503,0.12906791,0.076147996,JE-TMA-41
JE-TMA-41_scene01_cell2697,0.24993029,0.86635894,0.62085056,0.73639303,0.85286534,0.36658916,0.41232243,1.2187508,0.3434381,0.77493954,0.3767155,0.8689039,0.13064128,0.1182647,0.012141273,0.12960395,0.011692145,0.018079367,0.18702507,0.08300853,0.0020403601,0.3731404,0.09994538,0.1223792,JE-TMA-41
JE-TMA-41_scene01_cell3278,0.21846491,0.07701864,0.4831886,0.7484371,0.31191814,0.5692329,0.5320871,0.92849857,0.48669687,1.2656224,0.22613178,2.380206,0.029083287,12.057074,3.598946,0.12994273,5.4353437,0.021529721,1.3019294,0.5338016,0.8952157,0.8586551,1.2461381,0.098226905,JE-TMA-41
JE-TMA-41_scene01_cell2100,0.29701853,0.5332211,0.11870656,1.2270707,0.43091178,1.1683819,0.21256444,0.7482164,0.41288227,0.89548135,0.2858647,0.2655381,0.14355507,0.106185764,0.009874833,0.11881849,0.015215916,0.016234923,0.16749625,0.23016724,0.010237869,0.3545433,0.21879731,0.24093857,JE-TMA-41
JE-TMA-41_scene01_cell2858,0.2459463,0.50519514,1.1401217,0.8039344,0.7026344,0.31677762,0.4495732,1.4923993,0.34431997,3.594637,0.57319623,1.5626435,0.031532098,0.08590551,0.0010666617,0.14049171,0.0027961947,0.01989047,0.18226473,0.05829405,0.008146562,0.36817798,0.09095448,0.09545704,JE-TMA-41
