,CK19,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK5,CK7,Ecad,Ki67,LamAC,PCNA,pHH3,ER,batch
JE-TMA-43_scene05_cell5928,0.0951692,0.044803474,0.0062468285,0.012971891,0.060617816,0.010730483,0.010982087,0.020202773,0.07700745,0.0694731,0.0040189615,0.02137571,0.07011222,0.0,0.0149214305,0.070418,0.027697135,0.011565042,0.35488242,0.43353665,0.43349048,0.8738673,0.07838883,0.3934314,JE-TMA-43
JE-TMA-43_scene05_cell5387,0.056941155,0.0433342,0.007481333,0.009443392,0.052491378,0.010771567,0.01328736,0.022916859,0.08413804,0.038376555,0.0075712316,0.021759277,0.063630335,0.0,0.014530108,0.0644117,0.026273906,0.008990005,0.2706541,0.3881335,0.30756548,0.72884476,0.08018364,0.20836212,JE-TMA-43
JE-TMA-43_scene05_cell2188,0.10546916,0.03884084,0.0065598874,0.008683684,0.04131838,0.0072199833,0.01560785,0.022452284,0.078880936,0.0822521,0.0024266795,0.024294324,0.0446083,0.0,0.014072925,0.06831171,0.024170717,0.011012117,0.4098534,0.10014144,0.43783987,0.6353868,0.047688656,0.4162705,JE-TMA-43
JE-TMA-43_scene05_cell4604,0.10917276,0.03838853,0.0068353703,0.006135139,0.02718968,0.012307813,0.013647237,0.01648233,0.051851675,0.03617107,0.0077992403,0.017203504,0.059657093,0.0,0.013131987,0.067022,0.02742764,0.010714776,0.34535652,0.06370063,0.2349586,0.35324362,0.04788086,0.2144098,JE-TMA-43
JE-TMA-43_scene05_cell4509,0.079736866,0.042766407,0.005499168,0.0062245587,0.030803451,0.009014266,0.011544252,0.01692537,0.047614217,0.042248894,0.007265209,0.016001122,0.05092674,0.0,0.014261078,0.060656834,0.023992084,0.014520298,0.22744489,0.06715641,0.23114008,0.413863,0.0416553,0.28144532,JE-TMA-43
JE-TMA-43_scene05_cell5432,0.06968222,0.043359425,0.00733771,0.005962517,0.026761262,0.0115606375,0.013542356,0.017536154,0.060000386,0.06507404,0.006904852,0.032089382,0.07631008,0.0,0.0137535175,0.06703342,0.028558575,0.00757948,0.26222894,0.1722672,0.41435942,1.0,0.07490108,0.32591838,JE-TMA-43
JE-TMA-43_scene05_cell3655,0.09636133,0.042378776,0.0041970196,0.00740567,0.03562951,0.0031061445,0.010744074,0.02226719,0.05888479,0.058660116,0.0013038315,0.02490202,0.05512374,0.0,0.0133797135,0.07294594,0.025359288,0.012709261,0.3439862,0.08711945,0.428294,0.502066,0.0466796,0.49729624,JE-TMA-43
JE-TMA-43_scene05_cell722,0.050141774,0.045143258,0.008965159,0.008037804,0.040468488,0.006187599,0.014131171,0.02474444,0.06763133,0.081765324,0.013926599,0.019456424,0.041017074,0.0,0.015633522,0.078933746,0.030396163,0.012031603,0.34596717,0.35604662,0.34808305,0.87772346,0.09895187,0.22288266,JE-TMA-43
JE-TMA-43_scene05_cell5700,0.20043321,0.051161192,0.008360308,0.011717386,0.07404208,0.005891329,0.011551042,0.021711472,0.09216607,0.04118362,0.023649242,0.023506641,0.07098251,4.063289e-05,0.016925113,0.08803279,0.030217322,0.010850655,0.21362337,0.54828066,0.4446744,0.3969697,0.058919568,0.16251612,JE-TMA-43
JE-TMA-43_scene05_cell4912,0.19533215,0.03846523,0.007786265,0.017174853,0.025893128,0.02189933,0.007025303,0.006435869,0.027171526,0.035682116,0.0070469095,0.012485634,0.07321189,6.7895526e-05,0.014216158,0.0976855,0.025678735,0.016130682,0.07304244,0.18535973,0.2073944,0.1638147,0.045974318,0.26793236,JE-TMA-43
