,CK19,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK5,CK7,Ecad,Ki67,LamAC,PCNA,pHH3,ER,batch
JE-TMA-41_scene01_cell42,0.018991215,0.0049487054,0.008480416,0.06460322,0.005511427,0.007747541,0.01831127,0.007478505,0.012503083,0.003657709,1.5547941e-05,0.011653833,0.0127347745,0.016705414,0.0044680736,0.00212551,0.010696845,0.00718777,0.012699056,0.019113168,0.0059008435,0.0023638578,0.0137903225,0.005138812,JE-TMA-41
JE-TMA-41_scene01_cell1844,0.017217724,0.019275479,0.007843454,0.010469024,0.08291646,0.0013220252,0.36830541,0.0074176313,0.0014787829,0.01391362,0.29208672,0.0012447214,0.009197814,0.014146643,0.004688799,0.018894142,0.008730883,0.0070784534,0.011194552,0.006998025,0.013022896,0.010955446,0.0044394606,0.007214479,JE-TMA-41
JE-TMA-41_scene01_cell1429,0.010558826,0.0076115294,0.017401744,0.16967088,0.14613594,0.016701527,0.16888483,0.014863776,0.08828822,0.017122967,0.008878089,0.0011904929,0.003015558,0.019704588,0.0103197405,0.0024328346,0.017734116,0.006797779,0.019214857,0.017121572,0.006544032,0.0067135133,0.015813865,0.0044728084,JE-TMA-41
JE-TMA-41_scene01_cell2686,0.014752102,0.004958139,0.013178397,0.33897966,0.0021690507,0.0026568414,0.032801006,0.017119758,0.18101966,0.0019657614,0.002916035,0.007944031,0.031265333,0.018222483,0.014491529,0.010807441,0.003483769,0.014831226,0.012813286,0.008136496,0.011041813,0.0029203012,0.014465435,0.002754247,JE-TMA-41
JE-TMA-41_scene01_cell2056,0.012006001,0.009721703,0.0067876917,0.045043148,0.04794473,0.014575135,0.088523015,0.0068428074,0.015926674,0.01796534,0.0068177707,0.009871895,0.005397338,0.016159728,0.017344315,0.009098889,0.016300814,0.013724721,0.008495883,0.011466962,0.0067788255,0.0095959855,0.018402789,0.0020950092,JE-TMA-41
JE-TMA-41_scene01_cell1867,0.013614816,0.013395605,0.008187389,0.054555595,0.05790989,0.05194691,0.0893751,0.018555313,0.04384038,0.025119074,0.027228968,0.007785303,0.09661389,0.0066223727,0.010750608,0.015748188,0.0185366,0.010364068,0.009853078,0.008663712,0.001016241,0.0018124231,0.017791094,0.018806743,JE-TMA-41
JE-TMA-41_scene01_cell1276,0.0062022386,0.01522883,0.0048262374,0.024172988,0.00070030167,0.0497979,0.006153426,0.004878403,0.006284366,0.0036322975,0.001988426,0.01954715,0.008140435,0.0035699473,0.004290287,0.008907224,0.01562181,0.00016357384,0.0090696355,0.018731212,0.010024855,0.014206978,9.057528e-05,0.019413006,JE-TMA-41
JE-TMA-41_scene01_cell1335,0.016254013,0.0057218224,0.0006953021,0.34159952,0.035824902,0.0033959325,0.036808595,0.009843833,0.11362688,0.004183664,0.022708748,0.041111063,0.010683223,0.0054743537,0.01575822,0.010423757,0.011368236,0.012913281,0.0031123948,0.0012828475,0.016650133,0.13400693,0.019134706,0.0042857565,JE-TMA-41
JE-TMA-41_scene01_cell3151,0.016597118,0.017752407,0.013792007,0.07623284,0.24297486,0.0075238496,0.44327426,0.016677404,0.44780853,0.010837233,0.049514752,0.11140693,0.029828014,0.004865014,0.000825947,0.018399203,0.018137036,0.013474964,0.011217028,0.015957026,0.01198001,0.009579548,0.005022428,0.00013068334,JE-TMA-41
JE-TMA-41_scene01_cell1656,0.009089009,0.008899112,0.019780708,0.090458855,0.012482668,0.015017531,0.06754279,0.0053238845,0.0077281715,0.017170679,0.00801787,0.0026731484,0.0075715827,0.017628025,0.002890326,0.01053517,0.017450646,6.3800944e-05,0.011834536,0.002035198,0.016323354,0.006412415,0.013390506,0.017314443,JE-TMA-41
JE-TMA-41_scene01_cell2006,0.0074032107,0.013223339,0.008394658,0.001292867,0.00551043,0.056154616,0.28224736,0.0030226647,0.0075597693,0.004496487,0.6414545,0.0053966413,0.014335266,0.00068743073,0.009380413,0.019615738,0.014232462,0.0072528576,0.008527324,0.010343776,0.01977212,0.01721963,0.0015460757,0.01026112,JE-TMA-41
JE-TMA-41_scene01_cell1848,0.013845668,0.013332736,0.005102285,0.006569394,0.32083702,0.03141841,0.46805593,0.012178225,0.06279626,0.01700325,0.34489682,0.004229035,0.010158823,0.008258726,0.013005425,0.0050286585,0.019702028,0.011753392,0.017207488,0.00062417606,0.0071869455,0.003573034,0.0010755047,0.0066348403,JE-TMA-41
JE-TMA-41_scene01_cell3368,0.007699176,0.010373749,0.013513208,0.042172994,0.013182718,0.011741976,0.019229302,0.0021552714,0.0140965395,0.0028267403,0.009738844,0.0016452508,0.018211868,0.010239659,0.0072667873,0.019320372,0.0063959253,0.011661988,0.010166845,0.0028768298,0.0076301578,0.0020423434,0.015616141,0.0038157539,JE-TMA-41
JE-TMA-41_scene01_cell1200,0.0137117915,0.009826561,0.014553906,0.41363585,0.0054138647,3.8149545e-05,0.035326537,0.002442041,0.09299265,0.017228255,0.009146356,0.054877143,0.0033350585,0.013387598,0.019883811,0.015889604,0.0050512366,0.0064208736,0.019779896,0.0067569395,0.015611483,0.0021981932,0.009578257,0.0022284526,JE-TMA-41
JE-TMA-41_scene01_cell2289,0.013697483,0.010897696,0.006879436,0.00367274,0.013908984,0.012074103,0.022225823,0.015705695,0.010057116,0.014358117,0.010312234,0.019195883,0.013697841,0.0026501336,0.013641889,0.0030122316,0.008892743,0.010830434,0.009674034,0.0010673814,0.015726276,0.00029725934,0.008177403,0.008709827,JE-TMA-41
JE-TMA-41_scene01_cell2146,0.017125763,0.008203517,0.019641286,0.0118829375,0.0019491155,0.009583407,0.00160429,0.012478385,0.0026917665,0.009375173,0.0056647547,0.019076867,0.015094517,0.0028737758,0.018639669,0.0146902725,0.008253335,0.0062506814,0.004115201,0.01721425,0.007152556,0.0068654097,0.0194029,0.0013585087,JE-TMA-41
JE-TMA-41_scene01_cell93,0.018918646,0.011195688,0.0039415294,0.17326039,0.015063338,0.008862076,0.0364772,0.008778927,0.00512626,0.007623931,0.007200979,0.007655625,0.01518267,0.0076332926,0.019483037,0.005539698,0.003737118,0.010190034,0.0006169558,0.018135328,0.01983313,0.0062491577,0.013278153,0.009324897,JE-TMA-41
JE-TMA-41_scene01_cell1497,0.018463725,0.0042884937,0.014497509,0.23520592,0.013799812,0.032257065,0.0061250348,0.007801376,0.06266247,0.011203856,0.009294115,0.016295154,0.0034623898,0.016163852,0.007086987,0.018654555,0.01054866,0.0027812503,0.019623647,0.0044660275,0.008603197,0.010200914,0.013929208,0.006781122,JE-TMA-41
JE-TMA-41_scene01_cell859,0.013112385,0.014192978,0.017870648,0.34125584,0.0062230607,0.020980781,0.014683274,0.0034254505,0.03273482,0.029056633,0.0006554076,0.015870307,0.009337959,0.0115394145,0.010115919,0.018532986,0.0023717526,0.01444159,0.011850231,0.0045923702,0.019243607,0.01735453,0.019785892,0.015589547,JE-TMA-41
JE-TMA-41_scene01_cell3506,0.015783936,0.007755802,0.00052408787,0.084068105,0.0018557566,0.0014140903,0.06883563,0.008553683,0.0030605255,0.0032927021,0.008337833,0.012924612,0.014671495,0.013385614,0.009986499,0.001571609,0.012975971,0.01398642,0.00871557,0.01602777,0.0008151505,0.01795759,0.015678009,0.000620984,JE-TMA-41
JE-TMA-41_scene01_cell725,0.01786077,0.017404515,0.017472416,0.3571281,0.0061611957,0.0011798614,0.0014764204,0.019231034,0.0049167844,0.0128859,0.006112191,0.036419507,0.016758788,0.018969504,0.0139952395,0.0010719912,0.01621677,0.0057439366,0.011578019,0.0026880796,0.011417002,0.002610778,0.002727191,0.0127980625,JE-TMA-41
JE-TMA-41_scene01_cell519,0.018056484,0.010487898,0.0129269725,0.33727935,0.03374464,0.0043705287,0.15858427,0.01854069,0.058710452,0.009064291,0.0051044156,0.3427029,0.01969255,0.004232416,0.0134876305,0.0036083243,0.00032981348,0.017080225,0.011427563,0.0009846886,0.019347506,0.007536275,0.0076448657,0.003032825,JE-TMA-41
JE-TMA-41_scene01_cell3310,0.00829228,0.0101659065,0.0132205,0.05903338,0.24191147,0.017718723,0.2664133,0.0032951778,0.018760614,0.0047947993,0.0060513904,0.016029462,0.0571157,0.019821672,0.015808232,0.0041021653,0.0014052358,0.0024568012,0.0055507477,0.0017721739,0.006068096,0.011080105,0.0019448845,0.011750155,JE-TMA-41
JE-TMA-41_scene01_cell3188,0.004367813,0.012598358,0.0093247965,0.044976547,0.32624477,0.04603089,0.36241433,0.035592895,0.17287572,0.011891134,0.0008216624,0.0022321302,0.061176136,0.00621346,0.008068543,0.008814507,0.0063086078,0.0033277923,0.00034089078,0.017496835,0.011626588,0.015219713,0.0063740006,0.008731453,JE-TMA-41
JE-TMA-41_scene01_cell140,0.017485552,0.014902472,0.017069126,0.06703894,0.0064914613,0.000578942,0.07777075,0.0039060467,0.02059741,0.0031749185,0.018772272,0.13679473,0.015738396,0.014854299,0.014099056,0.01810927,0.012241091,0.0024527481,0.017804513,0.013212249,0.018251354,0.004739373,0.003221649,0.002465027,JE-TMA-41
JE-TMA-41_scene01_cell2055,0.009121849,0.0056295474,0.0042206184,0.005728338,0.07840356,0.0029000568,0.22970265,0.014348954,0.0068391436,0.015984222,0.17429827,0.017752552,0.0077984757,0.018378023,0.016769558,0.017550686,0.0043866523,0.0022385034,0.008270286,0.006161999,0.008448301,0.01982721,0.001704262,0.008044123,JE-TMA-41
JE-TMA-41_scene01_cell2762,0.018472001,0.011364062,0.015336321,0.29681548,0.013849691,0.007837077,0.013315724,0.007705014,0.1297211,0.008206486,0.0005257893,0.017042963,0.0046357014,0.012365309,0.012456691,0.011932329,0.004749095,0.017367825,0.010455899,0.017668346,7.013592e-05,0.017931385,0.018257832,0.006774219,JE-TMA-41
JE-TMA-41_scene01_cell339,0.011999065,0.0016579955,0.016076172,0.25854838,0.0009352228,0.0018593479,0.009639526,0.0017198668,0.015442833,0.0033922133,0.016062407,0.017000949,0.0065565496,0.007936306,0.010458614,0.006984154,0.019435355,6.433376e-07,0.0009426822,0.010103181,0.000503853,0.019027248,0.0040940396,0.004716991,JE-TMA-41
