,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene059_cell00179,0.22905744058834948,0.2609395421345219,0.11244263215834953,0.06045288166962137,0.04985339010133885,0.03974135903783662,0.10205241450035618,0.005398394682775461,0.00819110182134716,0.11607132279737295,0.010996082841985928,0.344433140712794,0.07114299515160767,0.07382823850619746,0.06984263965648312,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01646,0.2213688678467447,0.29127961967955474,0.1173394107583739,0.07234744704160574,0.07097390180309414,0.04204630070682063,0.10976966592547015,0.01056991142229816,0.01218427485907533,0.14500429935527023,0.015772491092287427,0.2797649282893255,0.13478558655025039,0.10637703318788985,0.09855634068353362,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05527,0.3527791600054745,0.34714532350055655,0.16790057344965906,0.09005461158518767,0.07059366771408393,0.04134415611319841,0.12149469720235513,0.00812262926680387,0.01528973207139787,0.1373551203013996,0.016688703522170126,0.3127472535718479,0.5534005205867741,0.1355915945851428,0.16381955044367813,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00473,0.0693587508666619,0.1901312511532647,0.11137358122003513,0.05082875521303953,0.05700164457765274,0.14232747311217792,0.07670663178528475,0.009769588258327954,0.029761195990405703,0.11443597070091081,0.015915522182906625,0.25644957991401157,0.022554891372130695,0.05975005941079492,0.008922165130690852,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00529,0.06218466205238163,0.18592230015387215,0.17169168371486696,0.0514089889141453,0.03971630321212658,0.3065379608824898,0.0741987034031035,0.013047318788227895,0.02960878400521738,0.11905579456646233,0.016129818042167798,0.25393821154118523,0.021859788943188994,0.05331283714168821,0.008242544061099132,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04094,0.46623373183916006,0.1885077623112491,0.20693083695136083,0.12706507119202967,0.12366368844068903,0.03656536990751411,0.1274162455647464,0.010725138501195065,0.0230581490826031,0.10307246550594786,0.01853197550451191,0.33439094002506203,0.19854990294982644,0.16122066772105395,0.2833049965860107,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02924,0.25938799188662515,0.437366285368947,0.1300125772519588,0.08186755826379323,0.06645055282182827,0.04022184636735811,0.09242110826778512,0.01031076942912674,0.01575224490775419,0.10720535459086272,0.032617065072266166,1.0,0.1811419807737852,0.10568701774043984,0.15124659253297948,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00933,0.08273396093458363,0.15371356649990905,0.15306097155022544,0.07933530212205654,0.09759291470139085,0.295407841574951,0.11450170152241547,0.3614704203698045,0.026456971793514934,0.31335026739232963,0.026347680042455867,0.307033114585944,0.06752294773456405,0.08838858078276668,0.1386464434261381,BM-Her2N75-18
BM-Her2N75-18_scene059_cell06266,0.06899660714385178,0.12979140071232492,0.14213127147800705,0.06318643138644234,0.08412862081185205,0.3154487629888785,0.11023223593330993,0.3480680510232154,0.014742284076808056,0.4197884131295655,0.03610661323472472,0.2859802415721711,0.04847890029286294,0.05929884339419903,0.08505392970709956,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01002,0.13159359038442364,0.12109540972195038,0.17148683298831324,0.08553038544172467,0.06835168786753902,0.038666526291508824,0.08613760243687216,0.008421355411807732,0.017492296251544862,0.1263202450787214,0.014682887336792221,0.31808279007571294,0.2670808681726511,0.8718778175783998,0.14994513623474065,BM-Her2N75-18
