,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene049_cell06318,3206.7732,446.86597,2005.2166,2216.3145,396.79898,2005.8247,362.5825,6882.866,478.0567,6617.3867,2184.1526,3832.3042,3109.598,859.2783,1908.2783,2346.9065,1307.299,841.81445,1168.3041,981.1995,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04820,3093.0762,521.25,1637.3098,2068.6685,430.42935,1788.3967,269.60327,715.0163,367.19022,556.5489,1636.3737,1117.5164,1095.7826,361.46713,3570.5225,2136.9827,1320.4565,7346.4565,1548.2935,916.5917,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00345,4008.1667,484.16666,1534.2157,1649.3431,431.451,1998.3431,348.7647,2731.4707,456.7843,3011.9902,4746.8115,2044.8529,1680.4803,4599.143,1640.1671,2411.5774,1225.8431,970.10785,1122.3922,1173.3982,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02804,2104.3486,512.6908,1937.3224,1377.2368,336.55264,1686.4868,251.15132,683.0395,366.38815,332.83554,1492.2842,1149.3486,1399.7566,359.847,1060.0273,1289.3224,1329.7894,1429.7764,948.6974,822.63934,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04325,2374.4058,510.43478,1519.5072,1350.4928,305.05798,1353.4492,257.9565,686.5507,347.0145,524.5507,1727.1204,1044.174,3514.1016,349.18796,1034.8872,1429.812,1476.1449,696.1594,986.971,944.6165,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03039,3823.944,579.768,2941.896,2613.296,506.816,3080.2,296.448,765.384,390.984,543.536,1772.7417,1108.632,1408.224,481.3375,2053.725,1931.4542,1506.064,4665.072,1857.2,1173.3875,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00858,8665.257,521.87134,1394.9824,2101.9824,666.8655,3172.6199,338.04678,682.43274,365.14035,486.46198,2027.4778,1121.3801,3030.0059,378.8,2908.7703,3429.6926,1425.1345,2486.076,10228.912,2676.5518,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05964,3435.7356,482.53897,1777.6847,1806.678,422.4339,1891.4338,291.30847,817.9356,418.5322,553.0644,1794.8312,1211.4102,2140.9321,374.37064,3905.046,3103.022,1325.9153,2890.5796,1392.0645,1204.9266,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00308,4847.0474,443.89865,1221.7567,1476.0203,492.24326,1983.3987,275.94595,610.0135,332.47296,315.3919,1642.0387,1017.9527,2672.0068,314.3871,1056.0709,2079.3806,1201.25,1077.1554,1139.2095,1627.271,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04797,4635.257,489.317,1832.3019,2184.5132,479.80377,2348.5132,350.4566,4417.5547,440.83395,4299.174,3179.9548,4523.336,4115.917,799.97736,1639.543,2421.878,1385.1434,1152.3358,1659.8302,1211.7556,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00477,2980.1948,513.1299,1378.3896,1428.3896,406.22076,1610.2987,277.22076,579.6104,400.55844,317.45456,1432.784,1100.6364,943.2987,339.8357,4895.6055,2034.2019,1294.6493,4618.195,2723.4155,1508.7042,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02037,5984.9873,512.7528,2038.0626,2360.6887,583.5522,3015.2488,367.4093,4093.265,446.0883,4341.098,9092.913,4057.3516,3061.0723,905.8283,2223.1814,3517.3064,1433.4061,1377.443,1602.7737,1276.6593,BM-Her2N75-17
