,CD44_Ring,CD45_Ring,CD4_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene059_cell05850,0.58156925,0.8765894,0.90074253,3.5675828,0.15343086,0.39337525,1.7085631,3.4875593,0.9170485,0.36821428,0.49012882,0.62097275,BM-Her2N75-17
BM-Her2N75-17_scene059_cell02210,0.69433236,0.7985255,0.9091275,5.262205,0.1309004,0.36821735,1.3918271,0.37924814,0.9579317,0.48134133,0.6191333,0.8001023,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05018,0.5231504,0.8278577,0.8106422,2.2057147,0.13666919,0.39614254,1.544527,0.53147274,0.90634644,0.37474093,0.55982363,0.6547552,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00117,1.0882202,0.67220384,0.39796782,0.24955201,0.07621898,0.25683898,0.40499085,0.29179895,0.72915906,0.38155758,0.35997888,0.3265968,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00513,0.7522183,0.6303992,0.75637186,0.24227513,0.07959951,0.25153264,0.3525048,0.29036102,0.7470396,0.4492405,1.828605,0.41178817,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05613,0.5586102,0.54467726,0.66405326,0.24233614,0.06871699,0.28009152,0.39958715,0.26607442,0.7567544,0.74624515,0.35478652,0.44633314,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00632,0.67244333,0.53810906,0.51568323,0.2607987,0.08972462,0.26880455,0.37910143,0.2953507,0.7672741,0.6088994,1.1006652,0.53693897,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04879,1.4941461,0.959263,0.8047659,0.24765787,0.078110844,0.3181509,0.39516845,0.29746452,0.8375038,0.78530735,0.45902514,0.5494005,BM-Her2N75-17
BM-Her2N75-17_scene059_cell06419,0.45234442,0.5246717,0.67996264,1.358973,0.06460155,0.3238148,1.4077162,0.30970386,0.8375026,0.40791655,0.5252481,0.71772015,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04398,1.5110141,0.500771,0.57822,0.22848168,0.08560151,0.24569471,0.41473734,0.27638933,0.82325995,1.4690431,0.54614806,0.51793987,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01859,0.57951564,0.70145947,0.73024416,3.4968219,0.10948572,0.38740155,2.7625344,0.35404715,0.8802656,0.40803608,0.50862765,0.73362535,BM-Her2N75-17
BM-Her2N75-17_scene059_cell06059,1.9656639,1.5854034,2.8477342,0.22807693,0.08441002,0.29865432,0.42241424,0.2890491,0.8051985,1.2014503,0.42933226,0.5292983,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05420,0.42096153,0.76441354,0.8827176,5.419775,0.12271457,0.33617508,1.3052399,0.42234722,0.8669961,0.34226412,0.4847513,0.5603186,BM-Her2N75-17
BM-Her2N75-17_scene059_cell06061,0.8371144,0.5028651,0.49072754,0.3030297,0.08241246,0.2826993,0.48791376,0.30247128,0.76260316,0.8207799,0.73458904,0.48421118,BM-Her2N75-17
BM-Her2N75-17_scene059_cell02122,0.6471791,0.52042633,0.5621875,3.0936425,0.10820035,0.32947132,1.8752711,0.33295393,0.850995,0.4169941,0.52229005,0.75609535,BM-Her2N75-17
BM-Her2N75-17_scene059_cell06547,0.55153227,0.5961051,0.5104863,0.27392465,0.075859845,0.29331467,0.39498037,0.28588718,0.7815819,0.7005969,1.6104462,0.4569486,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01464,0.61345214,0.7505869,0.8694796,5.74136,0.12291727,0.38858464,1.8814844,2.5215049,0.92248166,0.45054397,0.61083126,0.7656496,BM-Her2N75-17
BM-Her2N75-17_scene059_cell02975,0.56727433,0.509905,0.60173476,0.26020446,0.0720545,0.27575922,0.36234203,0.28443214,0.7651662,0.3718067,0.87131876,0.5520188,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05456,0.48696205,0.79770416,0.93301666,3.1238418,0.16638039,0.3897455,1.85566,0.56789774,0.8955958,0.34099922,0.57079726,0.6128742,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05924,0.44272715,0.5802968,0.72099143,8.025193,0.07907032,0.32470155,1.2007263,0.31459847,0.832005,0.37208134,0.47875336,0.67559433,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04718,0.81821007,0.46021116,0.5091625,0.22919172,0.072522454,0.28678012,0.48557436,0.28372037,0.7452914,0.6406219,1.8422781,0.6082924,BM-Her2N75-17
BM-Her2N75-17_scene059_cell03823,0.6514654,0.40287447,0.4806269,0.22817491,0.06543137,0.25714,0.32062313,0.2589774,0.6641117,0.43891245,0.37739316,0.6068033,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00531,2.4028711,1.4459071,3.213613,0.2349724,0.09757499,0.29913372,0.36441475,0.4393101,1.0506669,0.74044245,0.97971624,0.6482372,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04177,0.5483549,0.45732296,0.46653485,0.21692227,0.06764787,0.2509422,0.33724526,0.28032413,0.7672785,0.40563208,0.45906675,0.49563348,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05193,0.4313725,0.72075623,0.7844967,2.6788037,0.10779854,0.4032178,2.0376365,0.39530158,0.8198941,0.30081782,0.47766504,0.5075671,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04075,1.2400867,0.7750131,1.5824076,0.23075376,0.078011274,0.2816604,0.40657243,0.2805908,0.78251225,0.6320764,0.48869792,0.61065185,BM-Her2N75-17
