,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene017_cell02941,3530.591192077396,1336.158613775513,1711.5480720761666,3134.262520781507,1032.5353003927503,2447.051462930726,222.9867814914657,628.137066004603,382.2349671141676,130.93025990035403,2291.5162775984654,1162.100434292059,5508.2602090231685,395.7867879475877,2041.1037265382122,1463.034058089616,1359.521865533478,1058.4906960526791,1464.2542502902418,924.8485908655506,BM-Her2N75-17
BM-Her2N75-18_scene059_cell04735,3678.0326088305164,2845.9269208563887,1603.255438230719,1637.1236305004527,381.17299302878587,1810.7120205789465,559.8251546461321,604.5600499178827,649.2449957813185,341.63692105818564,1635.723938628381,1345.0350646055763,1416.5536338337529,325.61020659189336,1701.6923790956157,1930.188284524038,1300.1156164790382,1416.7834845777513,1666.4612641672572,1269.9506722221981,BM-Her2N75-18
BM-Her2N75-18_scene049_cell03605,1098.1873022931186,1506.2987062231016,1471.8332022646612,2422.742046530218,534.6254090417814,896.8918976443001,337.6415690207374,677.9158149564807,584.5122890930215,381.24127838908043,1675.1360856584922,1295.785152802278,979.2169116330363,457.6345946512836,3719.418398690166,1532.7943056001864,1238.5354838974463,1048.9080963656725,581.403303547751,1002.0939979399316,BM-Her2N75-18
BM-Her2N75-15_scene017_cell03314,4030.789705452471,3107.3836680295803,1734.0950785906743,2206.516269546847,651.2836059800208,2318.334210256347,564.927129333211,673.2755950204241,596.1706103655096,250.7294691362954,2209.6249530634122,1063.247920719601,2288.601560805063,413.9085843778105,1263.2733481214725,1640.0548615894593,1362.135843106212,1762.96948107033,2269.4273611308167,1130.4232164484972,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00955,2439.725462772743,2360.0309414491594,2023.9513835277744,2426.831893793968,595.1840613883841,1773.70794743493,661.6342295595213,658.1205211867468,753.1625739035719,112.57251423337539,1368.1151958386636,1238.3903892843537,1267.752439194888,531.7177504626064,5829.860415440075,1911.628139814926,1446.9088383439364,1946.2981494542041,1686.4345272207877,934.5336437401929,BM-Her2N75-15
BM-Her2N75-15_scene049_cell02016,4825.4735635629,826.6599129558184,1759.6468320580766,2221.6307805397814,561.8492584839604,2420.2184117485253,770.8063553207426,5299.339782987039,820.2405877677148,9818.088824979433,4581.56378775139,3202.231524915943,2621.1487479928996,1490.226492150377,2424.4596085718395,2349.335195097815,1468.7160057110236,1502.6453989778145,1395.6841933427545,1107.9910869583057,BM-Her2N75-15
BM-Her2N75-18_scene017_cell00109,2003.9405819331678,1076.1629492708207,1616.501214480435,1551.308777036866,454.9952345035616,1233.1696486842748,702.0039350139,798.1370120792722,667.8942716662468,391.814886384107,1840.0043786008198,1785.21710885311,2140.6693780541686,302.9440387991907,1217.277121372969,1148.416787152425,1327.05606117884,755.2173867620075,1165.120971949032,881.5251510609237,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00581,3084.4227368854918,928.555031240776,1319.7208624219588,1511.5159898177885,407.3255325693105,1608.1801234255477,718.213975305023,4425.730014808192,995.8511421426789,1642.530435031811,1522.6589767129883,2921.239660921568,1060.2221508367124,310.3837749091229,1959.5333323029379,1129.5298888637026,1281.8497917229984,871.4713001901712,1130.4538411401172,1024.0357667022092,BM-Her2N75-18
BM-Her2N75-17_scene059_cell03708,8197.877499407103,6182.020354806494,2706.3017624740214,2785.877183914587,855.7615741479731,4404.342154096052,914.3394435741525,614.7662996226529,875.3110613765816,155.33365080666817,1970.3696564197105,1128.264154882605,2023.015507483544,379.3035145025928,2200.7268085871465,2786.197791231028,1680.146892641019,2659.2520449298154,1853.1535102757953,1822.6865070128051,BM-Her2N75-17
BM-Her2N75-18_scene059_cell01051,4819.550630204868,12564.135230136624,2163.0696418454686,2244.225540415434,581.4646359071235,2362.5769028556388,17150.00362491553,2391.6064092963366,12195.544632337896,6857.069893786253,2088.7841404354913,2654.9892641805905,2983.1330778557713,450.4670470291443,6240.4095584141105,2248.6621700678315,1638.1839485171174,1666.297710455044,4857.929410228385,1406.5457415747082,BM-Her2N75-18
BM-Her2N75-17_scene017_cell03694,4335.30824933135,1838.2261690363293,1565.8248144886174,2129.289415790239,655.1426068279343,3071.046424470563,394.7150068821147,704.5555406386486,503.3908084241276,199.45552941001142,2644.950939088257,1170.9970815527965,2736.5824941025944,419.9487544740707,4357.0160805278,1874.6672738974355,1791.007891141796,2333.0133184985684,2304.3932882812614,1177.6193603312493,BM-Her2N75-17
BM-Her2N75-17_scene059_cell02760,2786.781646834147,1167.0113019467294,1413.225920106851,2092.5906115023463,445.851006037232,1243.0869978731344,219.34506216762543,602.3351435093964,532.1806853635754,-29.2134007859554,1455.8886826896403,1221.139294539072,1788.3728094070857,356.53761234733213,3646.2173292274,1581.4609609567294,1261.5455190497973,1516.9955941297517,1192.380974095121,882.9960186660355,BM-Her2N75-17
BM-Her2N75-18_scene017_cell08621,2666.397321140549,1543.0697794082107,1903.555556817724,1814.1728114228943,756.6401098680205,2054.722970155067,427.5918521273893,616.0901946386357,561.7931115203219,281.44705745705187,1635.4422674111806,1198.2644389636087,2716.9536953790525,274.6141882895985,1627.28393004901,1010.7155263854347,1364.8688986056438,1103.097130699306,1321.4586618231806,783.7937718740038,BM-Her2N75-18
BM-Her2N75-15_scene049_cell04422,4669.778567639384,749.0200549962009,1584.2005071874555,1954.3854524277233,547.1701045066827,2329.489554668966,592.4628079464068,3981.3707390567133,695.9534362453102,4247.071401113466,4069.920837077678,4180.114864207576,3028.0601052428165,1590.0273438505292,1527.1053879973208,2266.948027495984,1265.7223245483012,1189.0218621145605,1284.9898114793755,1161.8740657551252,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00416,5925.2916810152365,1394.3591278370043,2224.766726758824,2921.526290050031,621.2384657847225,2870.3904335980155,3025.1797799149363,5103.062458316318,3466.667613102136,6183.289103020344,2559.3628950301318,6843.886178649654,7837.481438903318,531.0556667001164,7117.522129835611,3233.7174964355436,1640.3647075780739,1891.2234892250701,1934.7783796228453,1523.1540528348296,BM-Her2N75-15
