,JE-TMA-41_scene01,JE-TMA-41_scene02,JE-TMA-41_scene03,JE-TMA-41_scene04,JE-TMA-41_scene05,JE-TMA-41_scene06,JE-TMA-41_scene07,JE-TMA-41_scene08,JE-TMA-41_scene09,JE-TMA-41_scene11,JE-TMA-41_scene12,JE-TMA-41_scene13,JE-TMA-43_scene01,JE-TMA-43_scene02,JE-TMA-43_scene03,JE-TMA-43_scene04,JE-TMA-43_scene05,JE-TMA-43_scene06,JE-TMA-43_scene07,JE-TMA-43_scene08,JE-TMA-43_scene09,JE-TMA-43_scene10,JE-TMA-43_scene11,JE-TMA-43_scene12,JE-TMA-43_scene13,JE-TMA-62_scene01,JE-TMA-62_scene02,JE-TMA-62_scene03,JE-TMA-62_scene04,JE-TMA-62_scene05,JE-TMA-62_scene06,JE-TMA-62_scene07,JE-TMA-62_scene08,JE-TMA-62_scene09,JE-TMA-62_scene10,JE-TMA-62_scene11,JE-TMA-62_scene12,JE-TMA-62_scene13
PD1_perinuc5,1056.700677020444,266.5233079407799,390.0615575259053,346.1818024601145,447.231914823218,427.60035307781646,1350.166693300487,408.61796491228074,448.0923147322335,315.74518953727454,416.18308916901026,399.83089772727254,455.5608952831873,166.67994563851187,182.95860127275213,243.44571334705103,145.74618516359916,190.86346748827378,1348.3475022676662,287.76405160222794,243.57625610314142,231.74995614035078,213.63070102505668,247.8097509863377,250.6685225524617,484.9662053763441,129.39033214584344,182.32952331352323,168.07795678383422,128.1291855121472,142.96707161503514,1722.6635964146608,136.23696745559948,119.1546965377519,191.04894755146023,153.71291795960585,170.87576196141913,
PDPN_perinuc5,1032.2953321391255,,248.46231786427154,292.7798004933236,352.61737879858657,156.03296589079198,1173.065418259137,220.1718189988938,,,173.50092411023786,181.18407028805692,2222.301418489334,236.1165725016828,208.9989815630305,796.7205987744612,197.6565464802551,214.66824032399893,3862.4933049932533,293.83190448744335,176.85917119238485,222.18921165211935,159.7200931814586,311.61743306206614,250.62599294158827,1198.3332709521715,505.8553639978097,303.55857374254043,676.7189808153477,232.70086027590628,263.0806131467331,3050.4014507111615,333.71475820379925,244.29840777291986,362.6560118284002,262.5562300379016,253.44021769917373,214.19333400974025
aSMA_perinuc5,209.5444225931321,342.3322005970551,160.19297770470067,7804.621170753338,,150.52550665894614,214.39386179040108,,210.91031755197287,,161.7626385452887,306.01550411364906,661.608254145726,,,8784.762126228929,,,257.0825542598582,,,,,,,608.2163022957541,156.62391402229846,292.5914959294438,5737.772533927036,449.40273823191717,255.5631912944,129.19365223630712,244.32374918837382,546.7556324657901,126.603457329455,207.0845264728133,333.23813957747086,680.0456442255138
CK14_cytoplasm,921.2605418570395,1274.059653333334,230.0150149238808,155.9426320752094,115.86860500938252,123.9089609828504,8310.908373554228,118.7071922093435,104.70410810597076,107.18748763585458,131.02545788221894,121.05423556369296,1722.558785124423,1311.5950206850707,161.74133663366337,177.48643815174802,105.7173728695269,116.39760861425964,4286.842227869719,134.30147605224965,118.71310342395714,121.75320587938175,109.57327006629625,121.69139829709846,116.3034364069952,219.5052373195229,819.9748615246228,174.30112351281736,174.92536549399617,155.7185553359684,155.19510011778564,1105.209053976876,140.0794131925848,152.51113005173625,132.7779625779626,144.3386174055829,156.49943598148877,140.86674838919916
CK17_cytoplasm,1983.7858372601672,1409.7113053684247,3069.0021837715067,258.18918049719883,,,6281.053493652131,,,,,1127.8998486857336,900.8911395422133,793.0892961707016,2245.5267599715326,425.19235551969865,322.62509544127556,349.5923953601824,1927.6878198273116,304.819087790136,270.93333231280025,298.65103773584906,288.1867396117242,225.12014238628873,216.38437010516893,2560.932345292454,2220.8165064205273,1349.7982526800772,276.33815880744316,166.40762726657454,,3549.8710001442605,172.8106253832005,,,104.79934210526315,,
CK19_cytoplasm,295.3335926801942,1026.0254536904079,2789.8509750498265,7648.2474479945195,3247.5400825172146,3589.956862422613,676.0855847877051,5828.699093095642,3667.591667112887,3781.992514789881,285.3137368946609,285.81611623161905,535.0835712308656,2235.0094610585415,5360.775976135234,13788.964571428573,4757.833217673666,6295.724272282204,1033.1050135869568,7754.218096877474,5225.1069103275695,5013.4394454890735,4640.32978830059,463.6312584612308,456.2973464119773,381.0892039421334,3087.2113382894627,6362.622479351339,10121.1606525202,4966.314917489975,5754.296338774202,1032.5346693838385,4389.530618556701,3372.496435640908,3159.2593091947106,4813.033688897718,338.4423725961436,344.72164835164835
CK5_cytoplasm,6718.372541554717,350.06610253964254,867.8791750354575,678.5323124415006,,116.16917906107187,11263.988646286572,140.23740925740927,,,248.63497007822633,112.25255455712453,1719.02128474715,521.0936525735293,596.2034569940377,1196.0423545879335,274.68334318920876,273.62517735919903,4001.3133586800604,220.75410533140416,216.63884358288766,192.49563393791425,199.5463737918476,143.87556464525613,128.99675057208236,2847.781390867199,1731.7603113515224,1572.3177906655817,1707.900424876313,119.20775304716479,113.36003823710882,18629.211921902526,115.38146275591696,110.51795998907062,127.42054320987653,105.92611683848793,145.4918217981069,103.37692307692308
CK7_cytoplasm,148.98218115450356,3476.975089192417,17620.916928723687,12812.79429320111,866.6191803710188,775.9581038549551,273.3455576024244,5928.026176813037,6741.096551724145,10492.173169803511,115.02591028528528,114.78834159184049,196.87013300708952,3474.5225341164996,5916.221613756793,9712.183964944097,535.1487485410452,540.9074965218806,838.8565136761626,6944.684293312289,5049.7349204545435,4294.325233259615,4532.937716610043,,,253.71834199134196,5011.12483019943,9597.422143447951,6969.82297720371,1356.8242767771462,1002.8138437377308,360.49967682041273,4414.384765625,4002.46959753582,4770.53081423985,6398.529723141953,223.415976110489,188.77390512343027
Ecad_cytoplasm,3002.0170078201118,1919.5390165883823,3252.3425884405733,3149.307265366611,13643.858804636022,12907.757050623626,5314.625472573939,3701.710950935475,8982.62252406357,717.1306526038234,766.9816086332054,766.9698687164138,1538.1074894251026,2033.063196616415,3338.6546395577234,3164.863669064748,7843.046357505718,9478.277846953486,2250.233948672704,3074.0588075880723,6070.171844576489,606.3096619165333,602.340083389407,644.5223624733476,624.4388427793465,1069.6046569005448,2278.6357045390273,3784.2650576986644,5122.969064748202,7754.954155309031,8100.092158215843,7872.752029568717,3132.0730020874494,6232.342721700202,770.39814516858,789.697921794672,844.3709580372476,856.219532145876
DAPI2_nuclei,9396.337286220281,3502.9869975935185,5098.211454659154,7855.438834577556,4227.208667904386,6033.159285701996,5533.947643158957,4567.422781848789,5630.914441999065,5460.336496157042,4729.987420101714,5849.568658677919,13777.914170345546,9586.093230380993,11639.040202949225,15362.266388571437,12492.149959514167,14980.489593462567,13239.918876853859,8414.417454859778,12251.975789940458,8763.966845106115,12515.469662528722,12219.561210589587,,6288.948528604198,4585.112816342774,5588.259679665907,5382.04752620545,5240.843829040179,6474.046165898208,7839.561719298237,4560.517806900726,6424.475990443753,7105.42636697932,8112.507526711335,,
ER_nuclei,174.02597828552746,320.4363655678686,379.469062776737,329.3133064254159,1802.2548493469537,1279.2916444631242,122.37467353951891,801.6841665961456,488.5804755983151,275.7925723995624,179.15098453038672,215.38711416243333,245.22847917195833,692.1956031323382,207.1618180365909,560.7114640773761,1538.0287382779188,1656.3922210888668,244.49471486363078,617.9919335909542,566.2047494422917,210.1228636363636,178.1039946625228,202.4608955870483,169.82452596972092,231.44468545567378,449.10129825805603,349.1561487610309,323.56624242904036,2200.49111084064,1494.5927050222504,253.3459898446834,1451.2794507669453,676.8383148720818,330.99393404568906,236.0893283729181,275.17441951714625,306.01737838344025
Ki67_nuclei,5347.050909013734,11147.410553961596,7857.760860592005,238.2705881221807,9306.318016905352,9255.489622086214,12475.523383912088,6083.981756435745,5784.622670249491,10914.01171875,13415.957640829774,,1653.0384943281676,6465.782802946513,4290.192602171949,268.38582528735634,3410.2057803542057,4087.4253285913746,3667.697477014115,5557.996927849547,3790.710721560737,3608.718911766189,3351.628402181097,4110.165574113816,4768.960895286189,1225.8101281609397,13870.902268389027,6341.773593366319,227.25822957311746,1620.738108085812,3305.0648725674646,1758.4929737434159,866.7347949790776,1141.730911854104,1434.0969252057291,2118.465293929939,1523.167832633053,2049.148784130496
LamAC_nuclei,1793.0899891445938,2343.987372969283,2519.839850250626,2197.265109921779,3082.2741660595057,2811.496040836581,1713.4838960088605,2098.4568141869986,2902.0575636524522,2888.546913410846,2568.7872810426597,3337.279012178894,2614.8305625336866,3943.3549458843463,3315.7349131159426,3294.347266881029,3077.874961352655,3308.6176625251082,1440.988928611644,2570.708996230744,2461.193113772455,3389.8481108191095,3231.586476287237,3697.1117459373672,3403.181828562543,1362.4055674568338,1703.647876045923,1605.06643567727,1389.7409680762769,2192.850493023256,2171.544540227548,1492.979449211503,1817.7553762260102,1584.719004435195,2324.001240945986,2184.8200066696154,2183.7359974052424,2385.9490147727847
PCNA_nuclei,2086.355001739692,1073.8179853327165,1690.3691770600726,291.0553993102625,6898.717609427612,3919.1486990062767,987.9715841314224,1022.1872016803345,2409.9524829298593,7512.554034480309,2183.2611991463045,2698.2693143564943,1258.1310689712268,1328.7231314217674,1468.8481852621462,388.483398803589,4455.8742827778415,4399.434762630109,4218.297535633264,667.6011257334867,1914.5933969130406,2465.085087035446,3176.6402214971367,3287.809933503939,2920.5870312612174,394.1940566731771,674.3992169862139,1866.7093240759868,206.97543346659043,3199.966646085002,2526.282591410093,1140.1329947074373,670.2302992596562,1088.7831165020089,1819.5036420833335,1719.3896112431967,1661.4470372221303,1482.9629714400776
pHH3_nuclei,308.9500308483815,466.68648198608184,399.4995965018544,145.81103771037706,539.5678342634358,407.57717300923525,817.3689662739209,1493.9259194181473,951.0868503629554,329.72550614902644,1229.3849950255003,728.096138588874,254.6214403140151,175.57963239105777,259.3823443692464,217.32859770516038,328.08137062937067,308.67626688769144,217.73510926999433,357.6785676604481,179.23058131392116,250.4527623473095,179.03490001686828,240.6357613636364,214.05176668306297,311.2698924731184,263.98314708764815,453.5308214954854,281.89017554154725,303.328453475422,382.8397757099069,362.0292182635766,273.14791679327635,302.7290956200678,321.3853073524413,350.7428949527534,295.0254796730003,284.6272398415774
