,CD44_Ring,CD45_Ring,CD4_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene049_cell06382,-0.32398295,-0.04718797,-0.12787269,0.93323165,-0.0035547887,-0.08186088,0.49124992,-0.27912086,-0.05616142,-0.27052078,-0.21023457,-0.024320656,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02582,-0.3234858,-0.0195366,-0.118393406,1.497915,0.0006140346,0.66223913,0.8727789,-0.2795233,-0.011093213,-0.24709147,-0.24046113,-0.036703996,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02864,-0.26067093,-0.20050518,0.004685239,-0.6764044,-0.032527007,-0.1787901,-0.40768546,-0.3364205,-0.13737,-0.2784136,-0.41054046,-0.21834931,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03577,-0.28148112,-0.09420107,-0.13823096,0.8054586,0.005121576,-0.064042695,0.2614057,-0.29568484,-0.046927884,-0.14114189,-0.1445152,0.11779947,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03089,-0.29646164,-0.09206627,-0.13748424,0.45963177,-0.0007834112,0.10063576,0.10397369,0.9966252,-0.047164097,-0.2301969,-0.16634296,0.099140115,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02682,-0.33099708,-0.12061404,-0.22928582,0.78386885,-0.0106585445,-0.1351657,-0.13030374,0.02888679,-0.050235227,-0.27187222,-0.23334412,-0.06924807,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06332,0.09020438,0.640732,1.7734531,-0.62542325,-0.0117291855,-0.17925642,-0.34293705,-0.27848908,-0.001315965,1.004799,-0.081894204,0.024135834,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03852,-0.113237955,-0.053647324,0.49009266,-0.6711228,-0.01586253,-0.19224332,-0.37769493,-0.2801249,-0.053749457,2.1821206,0.38202918,0.27431023,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04997,-0.281176,-0.03097801,-0.09406941,1.0004967,-0.0024794836,-0.11904431,0.3771628,0.33584374,0.0041158064,-0.21008489,-0.1099969,0.016822403,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00117,-0.3528689,-0.26171553,-0.41598195,-0.68129575,-0.026280103,-0.23008619,-0.37992615,-0.33179316,-0.14210434,-0.35677364,-0.3925916,-0.041260295,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00867,-0.33658653,-0.24998225,-0.35402054,-0.66676444,-0.025482634,-0.19732659,-0.37158066,-0.31378955,-0.108509496,-0.15630001,-0.011225627,-0.13367093,BM-Her2N75-17
