,CD44_Ring,CD45_Ring,CD4_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene059_cell00484,0.31460077,0.6503962,0.65365607,0.5175253,0.7975467,2.3358626,0.7321748,0.34269655,1.6447973,1.4438593,2.1992502,0.8451102,0.48634237,0.49221492,0.64681554,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03999,1.2924495,1.0905542,1.0374126,0.5971128,4.9456277,0.546392,5.5123096,0.37254292,1.0909513,2.328426,11.628935,0.8355802,0.8970679,0.76171535,0.62164193,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00577,0.51580954,0.62195694,0.8624194,0.39041767,0.3970543,0.258025,0.4330367,0.27271962,0.31953287,0.53916615,0.36359793,0.72954714,0.8422881,0.7411818,0.51497686,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04404,0.28066054,0.71737283,0.7778498,0.5718408,0.88163894,4.4450326,1.0394446,0.36105555,1.763328,1.4617764,0.52840215,0.82743245,0.46414658,0.4881296,0.65601444,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02602,0.7067164,0.9203303,0.83321923,0.604278,0.5029062,0.2809615,0.46086913,0.30616376,0.317547,0.58009464,0.38878334,0.7704835,0.593427,0.40962687,0.61810154,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05105,2.1135314,0.89904827,0.9534943,0.9646127,0.8159491,0.280297,0.6397518,0.31743404,0.34009007,0.48342428,0.3840365,0.93878067,1.0948296,0.57460386,0.8059971,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01396,2.0792089,1.2790269,0.977725,1.2717854,0.70133287,0.27497825,0.5735311,0.2916675,0.30813366,0.45572293,0.39230734,1.2836243,0.74418306,0.5575907,0.5430964,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01214,2.105681,1.854992,2.1039705,0.40350574,0.67542136,0.2658547,0.5798583,0.2846324,0.34021205,0.3931723,0.42204058,0.9084557,0.40416247,0.47679445,0.55545944,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02596,1.65825,1.7311546,1.2042632,0.604626,0.617789,0.2796892,0.550977,0.30738068,0.35879916,0.49297845,0.40994006,0.9789253,0.7309667,0.5330804,0.6220357,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00607,0.2588639,0.49564344,0.4669748,0.38492987,0.509376,1.3897096,0.50123984,0.24407089,0.7752635,0.27861395,0.3722103,0.7783373,0.38839635,0.36829647,0.5098556,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05421,0.30633008,0.78645515,0.7697076,0.54401654,0.93451524,3.5779953,1.0807744,0.4342861,1.9067541,2.1511083,0.49173552,0.90604585,0.4913886,0.43482423,0.73092735,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02934,0.5285623,0.94178087,1.4755179,0.7545053,0.69947386,0.2632879,0.5110471,0.28730473,0.33401847,0.5584854,0.3927011,0.8440739,0.6902808,0.7068048,0.80966336,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04469,0.3052456,0.7660529,0.7160316,0.5138674,0.8589445,2.8598502,0.94069123,0.3512741,2.140212,1.7322186,0.50422,0.8037865,0.41444433,0.4692916,0.71905524,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04662,0.2786573,0.8402932,0.9112853,0.70792675,0.9810932,7.245921,1.2275367,0.32024163,1.5218132,0.88689166,0.55285245,0.9588734,0.58126277,0.499507,0.6721148,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05301,0.2585038,0.56484175,0.58492327,0.57123345,0.6329977,3.6518989,0.5008719,0.28170624,1.2907108,0.3519561,0.42419288,0.8233372,0.5531433,0.43319792,0.8371195,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03148,0.37458172,0.47010112,0.3929734,0.31279406,0.4692219,0.25508556,0.46113712,0.2543217,0.32271966,0.46350247,0.35327154,0.73591787,0.4675092,0.39505085,0.53948176,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05060,1.8574153,2.510187,1.8174874,0.97714,0.7366324,0.3120249,0.7120291,0.33238113,0.41175902,0.4010436,3.130147,3.1716087,1.0252619,0.59957033,0.84079826,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04370,0.32574973,0.856535,0.8080377,0.6688649,1.0298363,3.5012608,1.0514579,0.3785954,1.6110114,1.830583,3.2297397,0.8980734,0.57109797,0.5743305,0.8954747,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00735,1.186842,1.973364,1.6105679,0.6129905,0.9302562,0.28470278,0.7938153,0.29285067,0.38729736,0.49874303,0.5017297,1.6751088,1.2189568,1.1748251,0.557633,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04760,0.28663465,0.86045015,0.9108543,0.70575315,0.93293554,5.8607163,1.0850216,0.3675493,1.6145014,1.357803,0.48257947,0.92969805,0.5401923,0.4861581,0.77206105,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01074,1.408578,0.53922224,0.5923518,0.5234746,0.55806714,0.25688788,0.47366735,0.2864406,0.36634597,0.660163,0.36576042,0.8084545,1.0428909,2.3447154,0.7674539,BM-Her2N75-15
BM-Her2N75-17_scene017_cell05397,0.59061134,0.48559853,0.6133961,0.55078524,0.4958342,0.40182397,0.69288176,0.43574607,0.6310155,0.43240234,0.3175163,0.77614105,0.5596864,0.44793147,0.5209194,BM-Her2N75-17
BM-Her2N75-17_scene017_cell07723,0.5316467,0.5043606,0.48866767,0.52374053,0.590191,1.3099217,0.7500543,1.028132,1.7870173,0.624678,4.884367,0.8021327,0.3355548,0.44629905,0.5747086,BM-Her2N75-17
BM-Her2N75-17_scene017_cell03110,0.5887119,0.5469911,0.5205718,0.4918062,0.5416005,2.082288,0.7136382,1.3678775,1.8442552,0.7815933,0.32588452,0.80919576,0.28311467,0.4887437,0.49210063,BM-Her2N75-17
BM-Her2N75-17_scene017_cell02648,0.6581256,0.5176704,0.57209104,0.55767417,0.57663983,1.081441,0.7650132,2.7172549,1.2000531,0.6837773,0.57829785,0.8517947,0.3278451,0.57738644,0.4735286,BM-Her2N75-17
BM-Her2N75-17_scene017_cell04514,0.8149171,0.72151184,0.49982077,0.71096665,0.49892038,0.28282952,0.6472606,0.46377337,0.521453,0.9963729,0.31793177,0.9208076,0.45473516,0.54895025,0.59284604,BM-Her2N75-17
BM-Her2N75-17_scene017_cell06253,0.6602457,0.46353376,0.7652239,0.50425714,0.5406146,0.2351983,0.580165,0.38442603,0.3866405,0.79793704,0.2767459,0.74987715,0.36916366,0.6126407,0.7014537,BM-Her2N75-17
BM-Her2N75-17_scene017_cell08528,1.0779588,0.6913244,0.8209171,0.8342148,0.7184265,0.3248132,0.7923661,0.52119976,0.49392283,0.7565166,0.3234775,0.919632,0.57714814,0.6990014,0.79978883,BM-Her2N75-17
BM-Her2N75-17_scene017_cell08280,0.63372594,0.50267756,0.5348127,0.56300193,0.5144354,0.26879185,0.7355509,0.37340698,0.45887887,0.47816327,0.3088475,0.8538079,0.62978256,2.3439264,0.5215522,BM-Her2N75-17
BM-Her2N75-17_scene017_cell01467,0.6031959,0.5233987,0.5975289,0.67158765,0.6624422,0.9170345,0.74745333,2.0325663,1.9123917,0.96068716,0.3166363,0.7952502,0.31487486,0.4845807,0.606784,BM-Her2N75-17
BM-Her2N75-17_scene017_cell02037,0.73723817,0.5875248,0.8959213,0.7052846,0.539407,0.2638183,0.6535994,0.47360626,0.43757275,0.7947841,0.34278718,0.89109814,0.44556072,0.55527294,0.7490726,BM-Her2N75-17
BM-Her2N75-17_scene017_cell05583,0.5227259,0.55594504,0.5223953,0.5223252,0.4965001,1.6912552,0.6531758,1.5746182,1.1896796,0.68136024,0.29174128,0.76078117,0.24484043,0.4252468,0.48616934,BM-Her2N75-17
BM-Her2N75-17_scene017_cell08313,0.8906449,0.48839116,0.50528824,0.38457653,0.42299023,0.2502208,0.6765815,0.3566922,0.42050278,0.31471637,0.29203996,0.77594894,0.44902605,0.39491206,0.46385875,BM-Her2N75-17
