,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene059_cell05320,-0.1017756,-0.21310222,-0.36750907,-0.16285074,-0.5424956,-0.14435244,-0.36429814,-0.40478462,-0.12278716,-0.42378834,-0.11562154,0.048397847,-0.051925298,-0.12323125,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04004,1.0731307,0.514273,-0.38596088,-0.1576466,-0.55020094,-0.03416743,-0.35689974,-0.4032493,-0.125635,-0.4221902,0.08457926,-0.054348163,-0.0641542,-0.26613036,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05465,-0.3595494,-0.023358762,-0.11125918,0.14961496,1.7860689,0.16341734,1.8379945,-0.34145835,0.49441645,-0.32948044,-0.033659313,-0.56047016,-0.22527987,-0.20720415,BM-Her2N75-18
BM-Her2N75-18_scene059_cell06166,-0.3851782,-0.058235228,-0.16534354,0.17674437,1.682976,0.022176273,-0.30735373,-0.3624123,0.2154239,-0.42444873,0.05902579,-0.39565474,-0.13341415,0.023815555,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01429,1.5180918,-0.14922601,0.045573335,-0.16816285,-0.54936904,-0.12982303,-0.3654713,-0.35567778,-0.13997512,-0.48030272,-0.08139405,0.6926396,0.69360626,0.08379315,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05817,-0.45432287,-0.0063986783,-0.022546668,-0.19426188,3.7485123,-0.06407379,-0.29092947,-0.3165774,-0.15009019,-0.4971944,-0.097666055,-0.71549606,-0.44610333,-0.513195,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00852,-0.30219573,0.012494326,-0.20436741,0.27145222,0.54075,0.115844496,0.9664152,-0.250927,0.3625221,1.1022681,0.03372779,-0.53119147,-0.19365883,-0.12541325,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01863,-0.40695578,-0.09221214,-0.06903483,0.15421763,3.4518313,0.21166271,4.3927135,-0.36741218,0.26936397,-0.35593602,0.12352982,-0.37868276,-0.117360644,0.023280902,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05291,-0.33048946,0.030180395,-0.052292187,0.24695256,1.339093,0.15226465,2.0961833,-0.28852847,0.9335023,-0.020876728,0.020278959,-0.46140128,-0.12467807,-0.054455355,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01076,0.08180736,-0.20136803,-0.44096294,0.10032329,-0.53252834,-0.09000071,-0.34616238,-0.42645836,-0.11339532,-0.4253205,-0.111068696,-0.00017195109,0.5895697,-0.35481447,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04560,0.017208444,-0.16906786,-0.29735097,-0.02425644,-0.53289413,-0.06508087,-0.34699747,-0.4298349,-0.13605447,-0.41965222,-0.13759944,0.07422782,0.42756188,-0.24718516,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01023,-0.33355993,0.006140291,-0.17180379,0.082882434,1.3205824,0.06791902,1.4054226,-0.35110778,0.7577597,0.02004353,0.017481772,-0.4877365,-0.13445747,-0.116876975,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02077,0.5230823,-0.034605443,-0.18053545,0.15800408,-0.512468,0.07103563,-0.33112752,-0.3850505,-0.13908224,-0.3830724,0.06107756,0.3792082,0.8329799,-0.050921753,BM-Her2N75-18
BM-Her2N75-18_scene059_cell03357,1.1676012,0.005436897,-0.12053062,0.19027111,-0.5266796,0.047891743,-0.34291962,-0.3472479,-0.13753848,-0.36819717,0.0639185,0.042079575,0.31030202,0.19524913,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01209,-0.49487552,-0.25448754,-0.5190029,-0.40203923,-0.57038516,-0.18639114,-0.37105143,-0.46576357,-0.17882562,-0.5279252,-0.1632041,-0.7230744,-0.40444353,-0.5142914,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04412,1.9052638,1.1419533,2.6805131,-0.13605127,-0.56085783,0.027599342,-0.35802883,-0.3780898,-0.14468464,-0.42194384,0.020069985,-0.06417858,-0.010631915,-0.09819724,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02967,2.4806476,0.05231893,0.01088826,0.18971094,-0.5487172,0.02664233,-0.34382245,-0.32446754,-0.15944108,-0.42049763,0.122185975,0.81803966,0.254853,0.20865111,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00621,-0.42401987,-0.20323133,0.21508656,-0.13610193,2.5496235,-0.10905599,-0.34978306,-0.43511686,-0.15030217,-0.38760564,-0.114910215,-0.72127396,-0.33334953,-0.5126941,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05842,-0.34640086,0.010854602,0.014968794,0.17428371,3.56399,0.24408597,3.0748441,-0.25932583,0.22232063,-0.39364618,0.017971126,-0.45169365,-0.15764779,-0.0747226,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00762,0.77540666,0.85285133,-0.21672787,0.03454861,-0.54557014,0.10114301,-0.3623283,-0.3972738,-0.13189496,-0.42798844,-0.0052913157,0.4586872,-0.07234012,-0.20653681,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05642,0.27493364,0.38000447,0.016902965,0.6203296,1.426126,0.4925865,1.6608597,-0.100426815,0.58313304,1.5627656,0.37323692,0.27832687,-0.042985197,0.07660161,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04521,-0.31471258,-0.18425417,-0.3115689,-0.1515649,-0.5520512,-0.12577933,-0.356675,-0.40521982,-0.16508837,-0.4945339,-0.06879178,1.0389057,-0.12926054,-0.09637542,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04384,-0.41676742,-0.2390253,-0.4391637,-0.22235626,-0.5643748,-0.15183505,-0.35748962,-0.41952977,-0.16713917,-0.49368268,-0.103848904,-0.33459067,-0.30835268,-0.22731914,BM-Her2N75-18
