,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene017_cell08405,0.9672913,0.7507105,0.7392523,0.5416804,0.20219073,0.3755762,0.03540266,0.52580255,0.17662443,0.43446553,0.8240615,0.48348576,0.54897726,0.8167552,BM-Her2N75-18
BM-Her2N75-18_scene017_cell06556,0.46453536,0.39634773,0.6759842,0.49115273,0.18385376,0.37717372,0.034560397,0.53074586,0.19362487,0.49229512,0.7166084,0.95821095,0.67423606,0.96191466,BM-Her2N75-18
BM-Her2N75-18_scene017_cell01390,0.45611343,0.5067327,0.5260643,0.44001055,0.65945977,0.4112132,0.22350079,3.4983652,0.34142932,0.4717809,0.7406869,0.28421855,0.5398954,0.49157983,BM-Her2N75-18
BM-Her2N75-18_scene017_cell05770,1.2466162,0.5041261,0.54738075,0.43763182,0.1951205,0.382908,0.032493208,0.49508092,0.18329383,0.4638607,0.74573046,0.44119298,0.63907945,0.6157828,BM-Her2N75-18
BM-Her2N75-18_scene017_cell03999,0.86679274,0.8189469,0.6129046,0.48653618,0.1982879,0.42014065,0.036930043,0.5027419,0.18123163,0.53679085,1.0368631,0.9705351,0.59726775,0.53190666,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5090702,0.0,0.5175476,0.0,0.0,0.0,0.57679397,BM-Her2N75-18
BM-Her2N75-18_scene017_cell04397,0.7993223,0.6449962,0.67660135,0.49011138,0.21357216,0.41513115,0.031515814,0.47777936,0.19775787,0.49986842,0.7472683,0.4044119,0.51582944,0.5773345,BM-Her2N75-18
BM-Her2N75-18_scene017_cell05076,0.457423,0.5141627,0.5889057,0.5216475,1.0028967,0.42505372,0.4439381,5.4969606,0.49037528,0.5029946,0.7551953,0.31586182,0.56856185,0.8353696,BM-Her2N75-18
BM-Her2N75-18_scene017_cell04127,1.0390363,1.0475854,0.5923102,0.53502846,0.2479229,0.42239904,0.06252714,0.5799304,0.26668778,0.5208239,0.74333817,0.4480309,0.5679655,0.6264729,BM-Her2N75-18
BM-Her2N75-18_scene017_cell04891,1.0171568,0.60266066,0.91861844,0.5362765,0.29457095,0.40924135,0.09263329,1.5182725,0.23114002,0.52408284,0.86413705,0.49068326,0.6975657,0.85116994,BM-Her2N75-18
BM-Her2N75-18_scene017_cell00181,0.41038832,0.38670057,0.38381663,0.34919727,0.27449965,0.3640379,0.046888545,0.5021738,0.21296766,0.52929413,0.6585731,0.27852997,0.38288635,0.32834613,BM-Her2N75-18
BM-Her2N75-18_scene017_cell08426,0.9062131,0.59891254,0.5933226,0.39691302,0.46473843,0.356354,0.087595336,0.46096057,0.3465328,0.4379289,0.6808276,0.44342428,0.6992115,0.61642134,BM-Her2N75-18
BM-Her2N75-18_scene017_cell07094,0.4444021,0.52875537,0.5480584,0.4901352,0.54781246,0.45095628,0.3361069,2.233457,0.42940584,1.9090043,0.7485302,0.2815519,0.43584764,0.41007495,BM-Her2N75-18
BM-Her2N75-18_scene017_cell06179,0.51537615,0.47927177,0.58843136,0.54673034,0.27836135,0.4078356,0.12841606,3.5948274,0.33866087,0.5064364,0.7429085,0.38955674,0.5186829,0.5783483,BM-Her2N75-18
BM-Her2N75-18_scene017_cell03040,0.6104477,0.42442325,0.5451356,0.28825852,0.19828726,0.3412489,0.025371242,0.39292577,0.16892114,0.45560598,0.6278143,0.26337826,0.47751972,0.30988753,BM-Her2N75-18
BM-Her2N75-18_scene017_cell04622,0.7955251,0.5858041,0.8087012,0.52658415,0.27400568,0.40460053,0.10647103,0.6673198,0.27021322,0.51029664,0.78524154,0.45443156,0.8479764,0.76468897,BM-Her2N75-18
