,CD20_perinuc5,CD3_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CK14_cytoplasm,CK19_cytoplasm,Ecad_cytoplasm,ER_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-43_scene07_cell86,0.018028654701814348,0.16821854868684294,0.05077181445248134,0.8748328520887381,0.30970015834274284,0.20469602486802735,0.03145090252827689,0.08528246557258941,0.09395939196523233,0.45122311497923095,1.0186976223255437,0.08316817911407298,0.5416262606699773,JE-TMA-43
JE-TMA-43_scene07_cell3320,0.7892214882747766,1.4607771630832296,1.808369474476039,1.2937971749804331,1.443941776341045,0.24039505924396984,0.029153065729550204,0.022065652988971854,0.043073591666521756,0.38416299554917116,0.4528485878576167,0.14809998272301092,0.47727411721098667,JE-TMA-43
JE-TMA-43_scene07_cell4959,0.9008180818690409,0.951130394345803,0.746286810535276,0.19396668438587322,1.5702252719124075,0.13435797529468038,0.010959229614695063,0.025180402062465666,0.058242580972854806,0.5394523151219575,0.22032330766215724,0.1972981764129106,0.4411553882366809,JE-TMA-43
JE-TMA-43_scene07_cell4036,2.1454437339956036,0.38363654602446357,0.533060179967277,0.2793243194554083,1.7113686382946525,0.1585871355515723,0.014761187064713452,0.032829873133604276,0.0812278646765963,0.6094331733241117,0.28014416346093557,0.37890596023399453,0.43070254181043766,JE-TMA-43
JE-TMA-43_scene07_cell4720,0.8603269875493569,0.695273325167155,0.7454751605499835,0.32543386759432763,1.8208931256846181,0.18381557461641254,0.006018862579193899,0.04768899369594055,0.08643205927202874,0.5744919279428251,0.2648323292024945,0.45415558686273233,0.4303921807692389,JE-TMA-43
JE-TMA-43_scene07_cell5474,0.20844774446361308,0.952929739108639,0.9889729469512474,0.39603738723321824,0.6599447816842536,0.1380661181638946,0.4257214446458739,0.08475567356590642,0.45326058578492273,0.6146390758427243,0.233725791491615,0.041143221017488615,0.3934233129927636,JE-TMA-43
JE-TMA-43_scene07_cell1206,0.04771734586758951,0.055523313456837975,0.5772742751512852,0.9678402425727164,0.4501687294893904,0.7488130587474158,0.5956909822918733,4.236890074328008,2.2431899438330363,0.8141590194736237,1.7062602288241102,0.08009596532359452,0.4615943045428875,JE-TMA-43
JE-TMA-43_scene07_cell609,0.11977999348768979,0.22239210168302384,0.1012752089301992,0.14550071110099705,0.35534252993904447,0.7005862179036985,0.044171936598487414,0.5289125882612483,0.3668556474576869,0.49329213373537634,0.24906952528598575,0.040227498655114144,3.580149088614626,JE-TMA-43
JE-TMA-43_scene07_cell916,0.12461625362891791,0.219091769402299,0.06802227643643442,0.14886710138477033,0.4591551906075171,1.1290230440339641,0.03703574569156528,0.15135860246445623,0.1638432076528099,0.4130281311132311,0.1850807327529669,0.012602103061910877,0.9540852054906498,JE-TMA-43
JE-TMA-43_scene07_cell5615,0.2486951935088103,0.25672559527954425,0.16250455176289108,0.26329414891154246,0.5009600213399599,0.21233194490021334,0.9924530473300214,0.13385603132072638,1.3569075558952157,0.9172754521503352,0.33931943996364583,0.06503359048654096,1.100206553382745,JE-TMA-43
JE-TMA-43_scene07_cell3194,1.157656423808562,0.28533633544081516,0.7162284850090918,0.4836118712234609,1.234420892140945,0.956342549306008,0.025805783388574262,0.019799448133301728,0.04089222538158561,0.41378822168900287,0.20121780608973833,0.3410384475154157,0.3942553212914877,JE-TMA-43
JE-TMA-43_scene07_cell2313,0.6618946081051613,0.3285241767928676,0.38980411072317706,1.1454408699176932,1.346861919429106,0.1842736080796312,0.04634568041402015,0.0330526100710186,0.043682493111373365,0.45613014595798695,0.27042155744407576,0.10819306938039384,0.41482432937944885,JE-TMA-43
JE-TMA-43_scene07_cell2145,0.6119398379558424,0.20400763935000846,0.08578213570149197,0.8167287522002644,1.20698468812553,0.21195034653918932,0.04265619430621796,0.02415467183802035,0.045231773274809504,0.4158401644155578,0.2298527304967268,0.11285309800557099,0.49282356421125173,JE-TMA-43
JE-TMA-43_scene07_cell2407,0.4616531912110087,0.18808444525585982,0.1968425319323986,0.7460295364098409,1.0381707238634204,0.2287889708535158,0.03572640584124442,0.03870498356812771,0.03922989797105794,0.47359037125576486,0.24943353847287505,0.10419519061343087,0.4115800904863585,JE-TMA-43
JE-TMA-43_scene07_cell5417,0.2558483054581508,0.40722791601829217,0.0808462824996064,0.5192389488008367,0.6916427624001471,0.1999050037948831,0.02821041089771804,0.028206629546321988,0.03419935324488238,0.36919937442270534,0.3159479824370407,0.08720972837285983,0.39969640902364745,JE-TMA-43
JE-TMA-43_scene07_cell2075,0.4609479791804206,0.6650007626167784,0.8876859109085214,1.4163194252399989,1.1550950814508545,0.6473173248863785,0.06071891087588189,0.03734627585094095,0.05506953311723502,0.4070042096885612,0.2614813305729679,0.08184645693310415,0.5302613536086831,JE-TMA-43
JE-TMA-43_scene07_cell2902,1.1382407701485817,0.21592552155800288,0.14144368299618112,0.6323605939506923,1.2553800414862553,0.24921844386108916,0.02658361207016519,0.01054015725724915,0.040023798184071285,0.35906083621117546,0.20200842423034976,0.09529980499371524,0.5174398480367721,JE-TMA-43
JE-TMA-43_scene07_cell1413,0.5507190341738043,0.22281433519001223,0.17976496142806608,0.5949373577505503,0.7085682818526358,0.15498481210256104,0.058249413314399284,0.07053262022463117,0.05537272635516054,0.5991346974533646,0.35553814063137273,0.07471506400580537,0.3727363360937849,JE-TMA-43
JE-TMA-43_scene07_cell359,0.0066404800169077086,0.0704864473888599,0.047835002106962725,0.33455299612703066,0.14090214335066312,0.18146176971098446,2.0747269457413866,0.037343356600766486,2.812400526231274,0.6651715867251351,1.6628380265570435,0.37241607557837764,1.0863900977196455,JE-TMA-43
JE-TMA-43_scene07_cell4465,1.2294086916844302,0.7103158422697576,0.8041743773172308,0.23960005892162545,2.0419316060185717,0.15540072723823353,0.011390889503197561,0.04111054727872098,0.056000174799744167,0.6346569090519858,0.26956329088059244,0.2613004247666553,0.45505635764246866,JE-TMA-43
JE-TMA-43_scene07_cell2755,0.900904307219943,0.6318421319694665,0.7281324651170955,0.6645783793128034,1.5598200813919312,0.2090399032997967,0.029042565047886323,0.02186809886077786,0.0561523047768897,0.37071284670549914,0.23953247623753787,0.16916589020423523,0.48565689158589564,JE-TMA-43
JE-TMA-43_scene07_cell539,0.027722860518256398,0.21822719137037905,0.06995615269289869,0.055803765293049104,0.20963124244603903,0.30960296367150536,0.33378874418173016,0.3225038105520164,0.3493839569242675,0.4361501996616561,0.1823124686095649,0.017913032298385825,0.6407669306220545,JE-TMA-43
JE-TMA-43_scene07_cell1370,0.09011114578200341,1.1082692524151287,1.043472431836895,2.0303599332523543,0.9230716290286671,0.20658244805273004,0.6944796575959964,0.17035037624938243,0.2526324306489046,0.5381858705526177,0.5554403678697246,0.09624400893841496,0.5631263035512597,JE-TMA-43
JE-TMA-43_scene07_cell5399,0.10886649256208991,0.1691433608057941,0.11675214756996778,0.6891923879488362,0.24899912816294295,0.651131955723481,0.7028926061796126,0.4283816294135039,0.4246268277988417,0.8141485037543296,0.7569025127418656,0.06720887748164976,0.717276764528095,JE-TMA-43
JE-TMA-43_scene07_cell4854,0.3402395658239574,0.6404562492705297,0.578990736079906,0.7316392132808635,0.7087901727630066,0.5880230734482712,0.03569242179346064,0.03216717468684228,0.05108302602947656,0.6475762706723395,0.26357695915566476,0.07655525317808476,0.4098384679893227,JE-TMA-43
JE-TMA-43_scene07_cell2233,0.6097385002213267,0.3298137595023638,0.39811940762525927,0.6004034003235067,0.8944757006880444,0.2562860414886246,0.025708196229585267,0.02549622168962985,0.05250879794675478,0.2193916961428611,0.20862247593990157,0.07543936665355955,0.36155755905093606,JE-TMA-43
JE-TMA-43_scene07_cell1761,0.45421311722859636,0.5540247727274616,0.9031828784799838,0.7001921866926597,0.82964128561565,0.20873619077204777,0.6423468881286732,0.36921282196120825,0.3457621563975761,0.5026316521518427,0.282553551884262,0.10208300889560733,0.4640724280264589,JE-TMA-43
JE-TMA-43_scene07_cell4738,1.0185933746186935,0.31069568356865623,0.29558864178767,0.08614161919134294,1.0210304886251327,0.0687096643045692,0.020094788060367522,0.021763030829236737,0.03409514623029205,0.5597220068395948,0.17719196293422257,0.3627879362941566,0.3087153661700433,JE-TMA-43
JE-TMA-43_scene07_cell1499,0.14212754912763834,0.1569196501873444,0.24581585307103843,1.4270535669169695,0.34706036867109896,0.25494475941237166,1.854035661835287,0.23579149749501724,0.7813208795177544,0.9163874485018159,1.8165576680597688,0.376947361141695,0.8108793335455842,JE-TMA-43
JE-TMA-43_scene07_cell2108,0.5700188292947224,0.6271820970547417,0.31162027379410323,0.9593632608168303,1.1793280839073437,0.2534449612215407,0.04751289841542142,0.03709682298470716,0.05149836444234064,0.7821358521894819,0.2230160343510683,0.13748528671929766,0.483806744754861,JE-TMA-43
JE-TMA-43_scene07_cell726,0.031702661285888306,0.05911762589410443,0.040804779333695654,0.05430085274101815,0.12406467450341441,0.40340752765863214,0.7234194397152938,0.7907082474267328,2.141707403866068,0.8741020565438122,0.1279567556904528,0.022250715855691598,0.9394571952298368,JE-TMA-43
JE-TMA-43_scene07_cell2627,1.1981589460377031,0.198647995180212,0.15688879049801963,0.6101690047228555,0.9280578761140557,0.49832884641157865,0.030073726006879638,0.02911731988266955,0.049703895215618556,0.5045821322690902,0.40529158060658427,0.36969458381050474,0.45357679447563143,JE-TMA-43
JE-TMA-43_scene07_cell5468,0.1936009803655104,0.2893734649813979,0.37691089833394026,0.7226881175516849,0.41186273807639007,0.25222610209378166,3.124050419550039,0.10135171385191587,0.755121960269983,1.0294161408382194,2.4351785905562435,0.3017938010402874,1.0727615889470459,JE-TMA-43
JE-TMA-43_scene07_cell3860,1.538093164630815,0.35449060299922025,0.5147482153914381,0.21173353192277572,2.2919553005066113,0.1871613026336129,0.011827165057996095,0.03894544109640628,0.07121521117809289,0.5254453652142808,0.3327646230426971,0.5828552618976213,0.4898267774481599,JE-TMA-43
JE-TMA-43_scene07_cell126,0.4534693680646757,0.4574723776542275,0.7733912614186267,0.8473517980885189,1.3408324376557907,0.12062252105585326,0.04230098841597577,0.03719910239400692,0.05622238106414106,0.36971556430038627,0.3092740192660933,0.12758187603099433,0.5509795274091753,JE-TMA-43
