,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei
BM-Her2N75-15_scene059_cell04555,2123.0789473684213,1241.9,1506.405263157895,1416.1368421052634,435.0631578947368,1054.778947368421,533.2894736842105,717.7421052631578,780.9736842105265,303.4157894736842,1534.921800947867,1593.463157894737,1584.4105263157894,411.3341232227488,3516.824644549763,1468.0592417061612,1276.615789473684,1172.5105263157895,1444.957894736842,876.4928909952606
BM-Her2N75-15_scene059_cell04262,3185.127118644068,1556.7118644067796,1712.0169491525423,2284.127118644068,538.5084745762712,1734.042372881356,675.6440677966102,634.3305084745763,739.2457627118644,254.6271186440678,1701.5171821305842,1274.0169491525426,1321.2796610169494,361.21993127147766,4122.099656357388,1775.591065292096,1534.4406779661015,3599.0338983050847,2095.9576271186443,1206.7353951890034
BM-Her2N75-15_scene059_cell00968,3152.892857142857,1293.3392857142858,1809.0714285714291,1842.0,602.9285714285714,1662.0,862.625,2788.910714285714,1067.294642857143,3048.839285714286,1790.9153225806451,3461.785714285714,3796.160714285714,8932.826612903225,4606.683467741936,4369.9939516129025,1546.6875,925.4821428571428,1644.2767857142858,1200.860887096774
BM-Her2N75-15_scene059_cell01401,4622.725,1325.66875,2005.43125,2235.99375,721.39375,2219.0,947.83125,7267.075,1071.05,3062.925,1899.1143410852712,5097.54375,4941.24375,403.55426356589135,8085.992248062015,2427.875968992248,1567.0375,1256.3375,1799.1,1391.9089147286822
BM-Her2N75-15_scene059_cell02358,4191.963455149502,2170.548172757475,1224.1926910299005,1534.1262458471756,524.9269102990033,1824.2956810631229,537.1395348837209,577.5714285714286,576.0996677740864,264.1262458471761,1593.5032010243274,1178.3521594684385,1840.8803986710968,353.55057618437894,2442.0704225352115,1846.1651728553131,1274.4750830564785,1746.5847176079737,3219.302325581395,1435.024327784891
BM-Her2N75-15_scene059_cell03121,2473.715909090909,1633.5,2082.5,2023.25,1164.3068181818182,1824.4318181818185,529.0909090909091,603.1477272727273,635.4204545454545,243.3068181818182,1429.9409368635438,1262.4886363636365,1275.7727272727273,356.5050916496945,2492.680244399185,1284.3727087576374,1351.590909090909,1688.159090909091,1200.6818181818182,931.2240325865581
BM-Her2N75-15_scene059_cell02613,4103.928571428572,1974.8125,2730.910714285714,3875.089285714286,630.7767857142858,1948.553571428572,1114.4285714285713,7854.705357142857,1210.8839285714287,7361.767857142857,2203.0425531914893,12382.053571428567,6154.3482142857165,560.8031914893618,2777.5159574468084,2528.723404255319,2054.803571428572,1193.2589285714287,1672.2232142857142,1373.3563829787233
BM-Her2N75-15_scene059_cell02454,3378.6450939457204,1277.6116910229646,1787.7473903966595,1918.8747390396652,554.5198329853862,1603.6910229645093,1027.7077244258874,6651.542797494782,1121.5114822546973,4876.079331941545,2006.2014492753626,4928.5156576200425,3864.6659707724425,442.83478260869566,3866.910144927536,2058.6797101449274,1478.8267223382047,963.8162839248434,1454.141962421712,1082.6304347826087
BM-Her2N75-15_scene059_cell01899,3266.319036427732,1162.0070505287895,1735.2702702702704,2000.9794359576968,593.8689776733255,1624.2267920094007,838.7291421856639,6692.242655699179,1083.1028202115158,3858.2508813160994,1919.488436632748,6331.554054054054,3726.3443008225618,423.73358001850136,5727.5143385753945,1876.5356151711374,1373.171562867215,944.1797884841363,1378.8249118683898,1297.304347826087
BM-Her2N75-15_scene059_cell04083,1825.614754098361,1372.229508196721,1300.3032786885244,1186.5819672131147,406.7786885245902,903.7540983606557,402.85245901639337,592.8360655737705,583.3032786885246,200.34426229508202,1393.3227091633466,1200.0655737704915,1669.0409836065573,334.5776892430278,3595.262948207171,1450.832669322709,1205.967213114754,923.7868852459017,1814.983606557377,862.4661354581673
BM-Her2N75-15_scene059_cell00817,3770.8801369863013,1686.7808219178082,1783.2294520547946,2003.5239726027398,558.9589041095892,1897.1438356164385,1385.222602739726,4270.8493150684935,1945.914383561644,4024.695205479452,2332.181229773463,5216.0,8196.633561643835,2541.7831715210355,3383.401294498382,2568.3689320388353,1498.4931506849316,1034.1952054794522,1746.9931506849316,1036.2038834951456
BM-Her2N75-15_scene059_cell03252,3255.353846153846,7548.076923076923,9881.476923076923,7937.630769230769,552.9076923076923,1774.0923076923075,696.2307692307692,643.0923076923077,804.8153846153847,257.9846153846154,1688.5020576131687,1286.4615384615386,1173.1384615384616,392.99588477366257,1816.6913580246915,1712.0041152263375,2047.9076923076925,1359.430769230769,1407.3384615384616,1060.7530864197533
