,CD44_Ring,CD45_Ring,CD4_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene059_cell03772,1.9459076,2.5368938,2.80902,0.004515313,0.012400983,-0.7226798,-0.014342936,-0.25032055,-0.3960221,-0.4032195,-0.38715956,0.19508913,0.3603608,-0.18464531,-0.09164939,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02333,-0.20498605,0.020599786,0.06199496,-0.0053851972,0.2537173,2.9705253,0.34938815,-0.22061723,1.6723913,0.4393162,-0.07932864,0.0900726,-0.10956395,-0.14144604,0.0348294,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00234,-0.2348686,-0.12797225,-0.08198101,-0.028699555,0.107681215,0.81917214,0.026707439,-0.20107865,0.44904447,0.72124153,-0.17032687,0.072102755,-0.1443004,-0.15410595,-0.019955195,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00166,-0.30033478,-0.22667092,-0.133379,-0.20404148,-0.25808194,-0.7419617,-0.2118513,-0.28258735,-0.42038208,-0.1927393,-0.4234071,-0.08384666,-0.18630928,-0.18191598,-0.10032461,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01004,0.23196404,0.07922882,0.2835098,-0.30016905,-0.09761852,-0.720934,-0.10768297,-0.27809536,-0.3827537,-0.41111264,-0.3604114,-0.019641254,-0.13018864,-0.21759982,-0.16670558,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02034,-0.228996,-0.071150124,-0.28460488,-0.23153773,-0.28355232,-0.7294233,-0.22558257,-0.26635885,-0.4478594,-0.2516582,-0.43328086,-0.10134408,-0.28435287,-0.2821692,-0.11320136,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02605,4.8025475,0.32891446,0.043154467,0.16490504,0.079571545,-0.70924145,-0.015741142,-0.18779293,-0.4075445,-0.26683843,-0.35647023,0.060996737,-0.053643286,-0.16998647,0.1989179,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00851,0.40185374,-0.1650393,-0.17806609,-0.2087025,-0.04509008,-0.71228784,-0.052225683,-0.29865807,-0.34996557,-0.37782314,-0.3837403,-0.005653474,0.21615517,0.1519322,-0.27195632,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01897,-0.082368925,0.099496424,0.092058174,0.1044996,0.39068568,1.7515324,0.24674049,-0.16632882,0.9554837,1.4134489,0.20345004,0.061101045,-0.07521117,-0.064265296,0.1799235,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04637,0.04923116,0.019766275,0.08139586,0.0082554445,1.4443322,2.2067053,1.2215357,-0.15725708,1.6079837,1.4268962,-0.27162522,0.04065123,-0.13562793,-0.070086405,-0.008426882,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01531,-0.18111174,0.0055615343,0.014141312,0.008765899,0.29657054,1.1554142,0.22090468,-0.20094725,0.96166563,0.98197395,-0.2581302,0.018545594,-0.14446783,-0.08285855,0.05018433,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00748,0.9525427,0.45391232,-0.17769618,-0.23298532,-0.09176171,-0.7266919,-0.09623113,-0.27716735,-0.3933706,-0.44937265,-0.3942011,0.006238189,0.14435291,-0.054472137,-0.10854796,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01435,1.2260724,-0.2116341,-0.1980396,-0.16522914,7.3607244,-0.6877164,3.0049503,-0.23587933,-0.22861867,0.0042299153,-0.34352803,-0.09607753,-0.26257816,0.40791368,0.13208893,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04762,-0.2550332,0.10398215,0.120933525,0.06523993,0.2714669,3.0138094,0.5551334,-0.18499556,1.6051575,0.7614203,-0.16814362,0.099649996,-0.090343,-0.13268302,0.075266324,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05426,-0.31381616,-0.21042508,-0.14021195,-0.0054645906,-0.053845286,1.0639921,-0.13854513,-0.2634023,0.34562278,-0.39526165,-0.3817756,-0.0055616233,-0.11341977,-0.23523195,0.057646655,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04455,-0.27759266,0.13061708,0.07840025,-0.039603807,0.35933685,1.1151749,0.27540347,-0.11541957,1.6816694,2.1119967,1.0487106,0.016097452,-0.26559368,-0.21837308,-0.011051871,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04810,0.859448,1.454635,0.9891665,-0.16820228,-0.064017296,-0.71816933,-0.03827325,-0.26242116,-0.39209569,-0.4140948,-0.39163285,0.079467446,1.0092624,-0.26139364,-0.1476697,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04936,-0.31214738,-0.12650192,-0.1280662,-0.20082548,-0.07958615,0.82139134,-0.050729666,-0.28113464,0.14658006,-0.43629113,-0.31596127,-0.036010716,-0.31123188,-0.2868584,-0.08846966,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01314,-0.254687,-0.019193526,-0.027963648,-0.068304874,0.16831708,1.4819165,0.118323654,-0.18675965,3.1783936,1.0890398,-0.21220087,-0.042570267,-0.21384469,-0.1690229,-0.049178578,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03394,0.10339801,1.0754359,-0.20542224,-0.023817874,-0.31402144,-0.72907954,-0.14698038,-0.26239765,-0.3809826,-0.41223335,-0.4202542,-0.04293916,-0.37449533,-0.3394713,-0.40922022,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01987,0.05603187,0.19465488,0.29528034,-0.24086583,-0.19214189,-0.7292593,-0.17339969,-0.2608311,-0.39285967,-0.2274115,-0.39647183,-0.057050202,-0.162884,0.09193601,-0.07374851,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03590,1.155827,1.5452021,0.54651964,0.520114,-0.18186629,-0.7237574,-0.16268471,-0.2635519,-0.3941764,-0.25090402,-0.41596535,1.9673028,0.060521185,-0.28760108,-0.1298553,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01471,0.9292899,0.34362286,0.20133196,0.45841596,0.5235399,-0.7173735,0.17190334,-0.16601673,-0.3986543,-0.14812283,-0.34609026,0.15328088,0.73190576,0.21324892,0.3759577,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02818,-0.25772932,0.48461932,-0.10696072,0.25322792,-0.28153306,-0.7023519,-0.12398985,-0.23764798,-0.3432484,-0.33520013,-0.428037,-0.12631688,-0.53763586,-0.41657332,-0.45897013,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01482,1.0007654,0.50512916,0.7185316,-0.08105496,0.035959244,-0.7118801,-0.058218632,-0.22582144,-0.41988683,-0.31462553,-0.21498327,0.17828324,-0.076137245,0.16039474,-0.0031272543,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01467,-0.18375827,0.07411116,0.07253914,0.06582364,0.27106023,2.8810606,0.22864506,-0.13887644,1.575374,0.6358138,-0.33879817,0.053737964,-0.06301588,-0.051283468,0.19811413,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02638,0.20139323,0.83310944,0.70044243,-0.19627377,-0.08375466,-0.7082973,-0.101147324,-0.24602455,-0.3892538,-0.3339576,-0.4024852,0.04706159,-0.1026113,-0.22323997,-0.07892416,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04559,-0.3141743,0.11111474,0.1221649,0.05257132,0.22022313,2.7519374,0.30786732,-0.20507342,0.39139056,0.121856645,0.18953116,0.065152854,-0.17463279,-0.1984498,0.06473567,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01421,-0.19030838,0.11544186,0.10501825,0.15512028,0.3800261,2.118706,0.21175238,-0.15197545,1.8003837,0.8194123,1.7511934,0.14665976,-0.015129386,-0.025375234,0.2973393,BM-Her2N75-15
