,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-43_scene11_cell53,4.3243284,0.24352695,0.7206863,1.0183347,0.86906457,0.45730248,0.63475686,0.94175535,0.13913925,0.012357145,0.31070864,4.447673e-05,0.0,0.63840145,0.8703779,1.5711707,0.90423363,2.4011433,0.503681,0.40404892,1.2059586,1.8623064,3.5308235,0.9239714,JE-TMA-43
JE-TMA-43_scene11_cell1770,11.305965,0.41317967,0.7326051,1.0144147,1.1255889,0.736196,0.6559291,1.0823083,0.88421476,0.23385085,2.3173988,1.0737793,0.0,0.7316092,1.1249979,1.6975542,0.9518235,3.9611444,0.5265086,0.64984107,13.027065,1.76795,4.050245,1.4966209,JE-TMA-43
JE-TMA-43_scene11_cell1600,7.809785,0.5334255,0.7161621,1.0276084,2.032431,0.46553677,0.62018234,0.93674767,0.3918112,0.26593623,1.1818417,0.58491796,0.0,0.6869225,1.0630646,3.0592563,0.69730884,5.85113,0.49549133,0.66897315,1.8962309,1.7570896,1.3233864,0.9789218,JE-TMA-43
JE-TMA-43_scene11_cell288,8.246688,0.28744277,0.7142872,1.0068372,0.9881698,0.4407474,0.62639874,0.95562446,1.012437,0.23358688,0.3067142,0.47897884,0.08086222,0.7339148,0.75262254,1.0475899,1.3612862,2.0289118,0.49837703,0.3271021,0.76923,1.457119,2.9240096,1.1906992,JE-TMA-43
JE-TMA-43_scene11_cell242,8.433633,0.16343983,0.73803777,1.04484,1.0120734,0.37616995,0.638509,0.9965955,0.29595432,0.032028865,0.414427,0.09181877,0.0,0.7202314,0.69320184,0.80048686,0.7610041,1.1739917,0.5144075,0.3747509,0.8434039,1.4874519,2.8340776,1.0141991,JE-TMA-43
JE-TMA-43_scene11_cell1138,17.587465,1.0607598,0.71302414,1.0064174,1.7122047,0.68034685,0.64921796,1.0169244,0.54639447,0.03582442,0.6023872,0.6162309,0.0,0.83500254,1.3678524,9.237025,0.7515246,13.903268,0.52858937,0.37012035,15.813332,1.504643,2.233228,0.8305193,JE-TMA-43
JE-TMA-43_scene11_cell237,8.1264305,0.75028735,0.72037226,1.0204476,1.0202254,0.3060288,0.625693,0.93632656,0.09157592,0.0,0.17663372,0.0,0.0,0.83952266,1.4749912,8.991211,0.9179416,12.069933,0.50787246,0.5899116,8.14993,1.7386343,1.7145622,0.7716663,JE-TMA-43
JE-TMA-43_scene11_cell984,10.894381,0.33060303,0.71303064,1.0007076,1.4133042,0.62133014,0.6542526,1.0191284,0.49574852,0.048106685,0.34724876,0.23999053,0.0,0.78475535,0.91665703,1.8370761,0.8064891,3.8496041,0.5289418,0.24693294,1.3546603,1.5369034,2.8256001,0.91871166,JE-TMA-43
JE-TMA-43_scene11_cell225,8.40048,0.500088,0.75087965,1.0587907,0.8538126,0.33884695,0.6536276,1.1011131,0.59917986,0.0,1.1198637,0.2857384,0.0,0.80814457,1.1613373,2.8849847,0.992825,6.2023997,0.5308123,0.4631789,1.5421532,1.9001118,2.7561848,0.9783923,JE-TMA-43
JE-TMA-43_scene11_cell2574,7.5995216,0.34407318,0.7022532,1.0438819,1.3517193,0.88237196,0.66996104,0.96687835,0.49915865,1.5895599,2.8981159,0.510279,0.0,0.7484717,0.9516271,1.1996344,0.6027225,2.4993958,0.56982875,2.189646,7.8000917,1.7995214,2.7164226,1.5181379,JE-TMA-43
JE-TMA-43_scene11_cell766,6.112613,0.40007675,0.6867597,0.97833294,1.6322353,0.42366046,0.6054137,0.9163753,0.093482286,0.008069664,0.1376894,0.22184452,0.0,0.68938726,0.9027348,3.3134022,0.6428962,4.913848,0.48529166,0.37744355,6.693766,1.1111884,1.3532436,0.8016604,JE-TMA-43
JE-TMA-43_scene11_cell2099,9.600284,1.2785552,0.72046006,0.9979906,1.1228846,0.44036916,0.61098766,0.960025,0.72020084,1.5366049,0.72198576,0.6217497,0.0,0.83164185,3.5585253,11.139807,0.7588193,15.000939,0.49753442,0.5509565,45.53903,1.3989984,0.39905626,0.9060095,JE-TMA-43
JE-TMA-43_scene11_cell395,5.189936,0.34582677,0.69895744,0.9813585,1.3020436,0.53268635,0.6130293,0.9264192,0.26409042,0.017585168,0.4250454,0.42776722,0.0,0.63442725,1.0784024,3.9694622,0.85672235,4.5863833,0.49263227,0.8593873,9.6054945,1.0787969,3.5343957,0.8348795,JE-TMA-43
JE-TMA-43_scene11_cell2151,8.79433,0.38632718,0.8167053,1.1102917,0.8951145,0.55017596,0.7016434,1.0910951,0.36840907,0.028092915,1.3880482,0.5022373,0.0,0.8773142,1.0582606,1.8630129,0.78996456,4.571629,0.5641956,3.2805867,12.316219,1.6258898,9.577162,1.6381681,JE-TMA-43
JE-TMA-43_scene11_cell122,10.4483185,0.8083807,0.71077234,1.0129093,0.7562469,0.3176529,0.6232835,0.94974214,0.5113425,0.14779843,0.41347018,0.9572734,0.0,0.73880976,1.4976969,7.8803463,1.5178174,10.404238,0.49399897,0.37464255,11.61053,1.2983528,1.2181264,1.1652073,JE-TMA-43
JE-TMA-43_scene11_cell2537,4.4891872,0.4245136,0.69499964,0.97871935,1.9976673,0.55813026,0.6247086,0.9558031,0.256194,0.21083878,1.0646222,0.25202683,0.0,0.7323908,0.98509485,2.2594376,0.5424796,4.8813906,0.50930214,0.4271551,21.141098,1.3717729,1.520933,0.94246775,JE-TMA-43
JE-TMA-43_scene11_cell2461,8.65073,0.43191013,0.7299654,1.0182071,1.0340271,0.62386376,0.63179463,0.99724525,0.21899202,2.8389843,0.51920253,1.0118974,0.0,0.89863586,0.8830833,1.5554544,0.8052407,2.7347076,0.5375489,0.40758982,4.4925094,2.291912,3.9467201,1.3775164,JE-TMA-43
JE-TMA-43_scene11_cell1665,6.064242,0.18446751,0.7233282,1.0265945,1.4031751,0.47040594,0.65691215,0.96298105,0.24568754,0.014798437,1.0942065,0.31760067,0.0,0.6862691,0.69015306,1.033856,0.6806893,1.7041181,0.5013241,0.5893776,2.246947,1.5819325,4.544904,0.9553921,JE-TMA-43
JE-TMA-43_scene11_cell1756,4.353384,0.4442224,0.72559506,1.0199585,1.4097195,0.5466283,0.7062138,0.9928727,0.6534829,0.3363292,1.3622859,0.205696,0.0,0.76580554,1.1412513,0.9742465,0.7948796,3.6734695,0.50356895,0.46967712,10.65368,1.763513,5.006928,1.1337926,JE-TMA-43
JE-TMA-43_scene11_cell2600,6.927252,0.4075281,0.7870043,1.1058381,1.9615713,0.81698316,0.7080851,0.96943146,0.83985126,6.25122,3.8732703,0.82942265,0.0,0.83473325,1.3386741,1.9886806,0.77034813,3.828564,0.58330566,0.41791978,9.553098,1.4999307,5.4177547,1.0380868,JE-TMA-43
JE-TMA-43_scene11_cell2490,8.300253,0.24194402,0.7859445,1.1030831,1.2037034,0.44991684,0.69079596,0.95504916,0.36250094,0.54495716,2.4594305,0.5152998,0.0,0.9350556,0.73819256,0.8939907,0.62541866,2.2845666,0.58057797,0.23698463,1.7806818,2.1059427,4.451981,1.4869514,JE-TMA-43
JE-TMA-43_scene11_cell903,16.407892,0.5097872,0.71312565,0.9956766,1.6807486,0.46503475,0.62523395,1.0085961,0.72505903,0.083014734,0.44875988,0.42665392,0.0,0.7665699,1.3144072,3.5534735,0.85222524,6.7299743,0.5036903,0.2308726,3.6831472,2.0708888,6.696922,1.0670087,JE-TMA-43
