,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-62_scene07_cell1732,-0.91191065,0.54452974,3.6070356,-0.11947581,2.0350397,0.049441487,-0.0858327,0.45164305,0.047407337,0.06082876,-0.40082094,2.4392238,-0.09538705,6.16849,1.4243823,-0.41369072,1.7820283,-0.8526552,-0.24119788,-0.43791747,-0.25869393,-0.25449672,-0.44878745,-0.00063862186,JE-TMA-62
JE-TMA-62_scene07_cell2191,-0.6461702,0.08169342,0.8127654,-0.13680682,2.3418074,-0.12169021,1.3059366,0.5535385,0.40871894,-0.07128136,0.1741622,1.3466624,-0.1843571,0.052537408,-0.13141854,-0.4603657,2.2680364,-0.8523683,0.069431886,-0.024936527,-0.27959904,-0.23808452,-0.62044257,-0.017709093,JE-TMA-62
JE-TMA-62_scene07_cell82,-0.9007733,3.1624303,3.6109734,-0.093660325,0.063545324,-0.05715421,-0.08480267,0.9030184,0.46233946,0.089625254,0.40768352,4.774773,-0.17139217,6.3045835,1.4864947,-0.44465283,4.134918,-0.8450416,0.2664968,-0.4790471,-0.092489935,-0.3107815,-0.50281435,-0.030556338,JE-TMA-62
JE-TMA-62_scene07_cell2892,-0.922581,-0.16099417,12.508537,0.027216703,-0.096831165,0.59234947,-0.106598064,2.8516335,0.11337078,0.5590804,5.333921,0.6592224,-0.18435971,-0.08746883,-0.18133183,-0.45694345,-0.22916679,-0.86167294,-0.2950281,-0.46895978,1.9508686,-0.3272368,0.6931612,-0.06412645,JE-TMA-62
JE-TMA-62_scene07_cell3314,-0.89160275,1.0746682,4.3257804,-0.09220287,0.5672837,0.12984863,0.079187825,2.2209558,0.092990585,0.8003791,0.42410675,2.2710547,-0.18240026,-0.028655145,-0.18884704,-0.46056393,-0.227284,-0.8591731,-0.3096418,-0.46109143,-0.2867908,-0.3321474,-0.59578145,-0.074612334,JE-TMA-62
JE-TMA-62_scene07_cell1437,-0.8326473,-0.15832731,0.6395562,-0.102033585,-0.020185644,-0.20344031,-0.16351546,-0.1758741,0.615182,0.17672409,-0.16460498,0.2644637,-0.18056616,0.83200514,1.0926431,-0.06614308,1.8671831,-0.74711466,0.34713826,-0.12814069,-0.22819248,0.1227757,0.08640071,-0.023019211,JE-TMA-62
JE-TMA-62_scene07_cell1943,-0.92275846,-0.026867682,0.9820698,-0.12325439,4.482216,-0.1604954,0.43146035,0.18161987,0.40582687,-0.16254573,-0.21405964,0.09188515,-0.18435971,0.12605599,-0.0690544,-0.45628944,-0.22529666,-0.85822475,-0.30025405,-0.43218997,-0.27071664,-0.16335246,-0.61796594,0.04908852,JE-TMA-62
JE-TMA-62_scene07_cell143,-0.9312776,0.99826294,4.5106583,-0.045981318,0.15745768,0.12418845,-0.15499203,1.31829,-0.00884544,0.06376131,2.743093,1.7390358,-0.18335223,-0.022124384,-0.10056467,-0.4567985,-0.22302711,-0.8612799,-0.30386484,-0.4976896,-0.29258502,-0.32581404,-0.6628575,-0.11652197,JE-TMA-62
JE-TMA-62_scene07_cell1534,-0.84046024,0.031999238,3.086697,-0.14655468,0.08950833,0.44266644,0.07875039,1.1287079,0.93887156,0.037911072,-0.129654,0.29537562,-0.18053818,1.5943369,1.1838868,-0.4555225,1.5459312,-0.84416395,-0.06716369,-0.44038668,0.48555067,-0.30542645,0.3390449,-0.013005692,JE-TMA-62
JE-TMA-62_scene07_cell3346,-0.9315607,-0.051796727,6.919362,0.031951398,0.63182575,0.18120047,-0.16317828,1.9491106,0.16905732,0.27184933,4.400292,0.38416794,-0.18421513,-0.040675137,-0.189245,-0.45470008,-0.23476744,-0.8584363,-0.28994837,-0.47750196,-0.13696331,-0.3045943,0.136516,-0.09329088,JE-TMA-62
JE-TMA-62_scene07_cell2307,-0.904087,0.040999956,3.4932137,0.020744413,2.1232224,0.42969963,0.14757802,1.4916568,2.6765356,0.35272276,0.13162737,1.7626271,-0.18435971,-0.0074896547,-0.1323075,-0.45706347,-0.22184485,-0.85594356,-0.29751685,-0.4612727,-0.28400084,-0.28475282,-0.5663338,-0.039413888,JE-TMA-62
JE-TMA-62_scene07_cell2296,-0.8924472,0.2708302,4.8771143,0.025134534,0.29694566,0.3855789,0.2925777,2.292436,0.40266174,0.13223226,1.2831488,1.7009673,-0.18435971,-0.08861986,-0.1260603,-0.45903334,-0.21971008,-0.8675895,-0.30160046,-0.45021918,-0.29152727,-0.3284681,-0.5922283,-0.08688761,JE-TMA-62
