,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene059_cell05144,265.82605,-1040.4999,-197.65472,6.0800037,-157.26132,-20.46289,-42.83675,10445.379,31.82555,7733.289,-1344.2495,176.65503,-1045.8677,-377.0112,-614.93964,-226.29964,-5.2758255,-339.3455,-778.46466,59.614586,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02215,-1225.9296,1122.7975,553.4284,214.14848,214.54495,-319.24878,-91.528885,-1578.487,-105.71613,-1730.2186,-1454.0183,-1286.939,-1155.6749,-242.01398,-1056.56,-151.58723,-105.298775,-34.677162,-568.50775,-121.7244,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02123,530.6449,1431.6515,-47.07526,105.262985,-53.265896,-38.953003,3724.4885,3370.687,2717.7627,3027.4492,-788.5808,5260.041,4894.9004,165.36035,1306.6167,1922.2588,46.92083,-209.4761,312.70035,234.78842,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01093,415.84387,-868.55054,-119.17792,-115.4731,-79.89865,-94.31006,156.76176,3444.7168,239.27824,891.10803,-1181.0841,1739.9744,1939.0056,-328.72018,1522.844,244.17778,52.129204,-290.23563,-466.47836,20.154015,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04365,54.04138,-1020.97925,200.26263,353.9024,-106.65585,81.7572,205.08592,8785.621,393.94867,6418.3633,-961.32104,1896.1687,2275.491,989.798,1071.2588,1143.7424,23.958061,-344.42288,-505.49802,-69.82438,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01814,388.85828,-581.4564,159.95612,54.648483,14.291537,56.01111,301.82242,4775.766,286.7309,4702.3325,-992.31714,4071.0637,4310.4453,-228.94861,1331.4258,998.8411,33.4522,-272.7847,-287.905,3.4568715,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01107,-1565.0924,2142.5334,4614.1436,3777.0374,-158.46335,-752.5807,-199.14766,-1748.4515,-189.47444,-1791.5089,-1620.5812,-1549.3175,-1388.2523,-407.73184,-974.5494,-765.5219,51.08111,-465.6426,-669.5931,-461.57846,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00278,-202.27136,1978.7245,3298.863,4446.7954,35.0264,72.68909,-119.26607,-1717.8015,-168.38179,-1754.7351,-1429.8036,-1473.2837,-797.6009,-374.15576,-604.8891,-412.48773,648.2614,58.3713,-498.1567,50.213097,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05175,383.24524,-1014.48615,-365.01215,-58.53389,-153.25107,156.88953,-171.28432,3346.9277,-252.4933,-412.30798,-1254.6124,240.27246,-463.03043,-369.86456,905.41534,-264.9328,83.48931,-334.8254,-764.52374,-38.439613,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04813,211.59021,5736.925,5219.754,6742.689,-7.2159696,214.21033,14.886885,-1670.3358,-23.967968,-1723.9557,-1284.004,-1434.0612,-1186.7987,-359.587,-193.4211,-147.5572,500.90826,717.7426,-675.44806,-32.507362,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05491,814.1759,-807.24634,160.61285,-150.915,157.76968,603.6266,-57.413227,3561.1924,-168.85963,-1612.0837,-1226.6854,597.40063,-932.4605,-221.05347,1173.4629,106.8272,21.87249,124.37972,-752.4825,317.18222,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00392,185.47302,-948.2309,-525.49664,-80.61714,-123.85898,-129.7926,-11.80678,15689.466,-51.636852,2180.816,-1468.0399,-292.76196,-1246.4044,-326.71252,-497.02023,-395.3354,-26.258492,-322.46732,-478.6921,64.723595,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03269,-1509.8997,4248.777,4412.9272,1499.2495,-212.13867,-577.5541,-166.23164,-1687.1906,-107.084175,-1764.7925,-1358.657,-1401.8473,-1290.444,-371.21338,-713.31683,-467.1939,460.22662,-396.08438,-815.4174,-253.85281,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02995,-67.276245,2501.6965,-358.90326,-124.14058,-137.0112,-387.86658,-10.547625,-1682.4724,-74.11622,-1741.1262,-1490.9639,-1231.2695,-683.04364,-373.45984,3766.4866,-265.0395,19.35125,835.4753,4571.4067,37.14657,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03505,-654.5355,3212.5178,827.83734,905.5457,165.69022,-51.41809,-56.86849,-1691.6588,-59.262707,-1736.8444,-1489.8196,-1488.9434,-1079.966,-235.15552,1264.1853,178.0308,127.73553,710.4194,-732.15533,-73.34757,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01138,-10.6917715,-151.31107,-415.4239,-176.44893,-124.259674,-155.72339,-3.5729547,-1692.0831,-96.66279,-1692.0898,-1573.5186,-1518.1138,-740.25446,-359.09338,2756.0793,-337.0467,37.142754,431.6937,193.5546,-129.02127,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03944,-1339.2899,3357.8264,5547.915,208.04594,-245.73929,361.43616,-217.44005,-1720.6713,-202.93703,-1759.4568,-1458.1683,-1567.5198,-1180.2167,-404.23184,-1096.0271,-515.50446,44.638725,-285.11526,-879.0273,-275.30124,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01284,453.71838,-466.45047,145.63861,47.679,-67.787445,101.42493,270.952,3685.8335,188.88347,3467.6235,-578.9402,5371.191,5035.8613,-245.18408,1663.9749,835.1944,81.67364,-295.512,-289.43784,97.2087,BM-Her2N75-15
