,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-62_scene01_cell33,0.2045534,1.1788313,3.3365753,0.84991413,0.28005543,2.0837383,0.4800104,0.6701565,1.0025451,0.68812793,0.5899334,0.22715825,0.13088234,0.5056248,0.014510902,0.12516205,0.020642567,0.1541294,0.20114323,0.13283113,0.19946629,0.5374702,0.05515382,0.6367705,JE-TMA-62
JE-TMA-62_scene01_cell3726,0.19844441,0.3097283,1.0594914,2.2330165,1.2520128,2.5807607,0.95569456,2.60742,0.7528881,7.9131026,0.6337973,0.21917383,0.00016292321,0.6590852,0.004179402,0.12862338,0.0025143777,0.14391847,0.12446956,0.134067,0.16463304,0.50303584,0.045512017,0.67643726,JE-TMA-62
JE-TMA-62_scene01_cell1412,0.20047523,1.4847536,1.4798673,0.56304014,0.68828064,0.68709046,0.5441021,0.27997425,0.2932463,1.2687469,0.37557337,0.6470327,0.009775568,0.69900113,0.01794351,0.12110992,0.021845827,0.06992894,0.14412536,0.12084695,0.18857385,0.49019316,0.024312695,0.99588364,JE-TMA-62
JE-TMA-62_scene01_cell1446,0.29217514,0.63838315,1.2540499,0.64539325,0.0049015977,1.0284258,0.5422311,0.047910824,0.0,1.5410417,0.39721414,0.0,0.0,0.81039864,0.0,0.12660006,0.019387122,3.0911175e-05,0.12202407,0.19060683,0.18414366,0.47213084,0.0,0.9299473,JE-TMA-62
JE-TMA-62_scene01_cell139,0.14550234,0.9703283,3.1310046,1.4599556,0.91078883,5.7274146,0.6533082,1.5387057,0.45889184,0.67513716,0.8110178,0.1283931,0.021942087,0.60841876,0.00032518493,0.12833437,0.0016096565,0.10554726,0.19925153,0.1022396,0.1889234,0.5244393,0.054509774,0.56516856,JE-TMA-62
JE-TMA-62_scene01_cell2348,0.10789886,1.104424,1.2856019,0.7883098,0.21774516,3.1672835,0.48056427,0.71659076,0.1994868,0.028022222,0.18576953,0.052037414,0.005396635,0.48580185,0.0031217753,0.11832574,0.0013432341,0.038911603,0.11167273,0.038546473,0.14046086,0.5500406,0.006819021,0.5286789,JE-TMA-62
JE-TMA-62_scene01_cell6231,0.15007135,0.7256139,2.34327,0.8305732,0.12165514,2.2715623,0.5653581,0.89033425,0.5953164,0.1297011,0.27447152,0.08474409,0.0013947482,0.6600807,0.003891367,0.12900601,0.0039119073,0.037168633,0.113203734,0.035358842,0.11703738,0.5081829,0.018597204,0.6164424,JE-TMA-62
JE-TMA-62_scene01_cell584,0.16992101,0.3419114,2.239181,1.173636,0.63852483,4.4970164,0.68874407,2.0611238,0.71613395,0.7252742,0.66165763,0.12374293,0.0,0.6971793,0.00034981023,0.12478939,0.0011172113,0.13891432,0.12967466,0.13354716,0.21762247,0.49121833,0.018094404,0.75930744,JE-TMA-62
JE-TMA-62_scene01_cell2206,0.1250263,0.5087815,4.304745,1.1260358,0.5924411,3.593037,0.564219,1.2528256,0.6931141,0.86022365,0.4209523,0.4856063,0.36358884,0.58413917,0.021339135,0.12956372,6.269941e-05,0.13755067,0.13726838,0.02336098,0.09426016,0.53908384,0.0,0.46773496,JE-TMA-62
JE-TMA-41_scene07_cell62,0.4425387,1.8765028,2.1803534,0.7784508,0.6929095,1.1333904,0.662369,1.0609739,0.47533542,0.7368507,0.9320457,6.624521,0.2964209,0.42851862,0.15544952,0.14882942,0.046490874,0.012836345,0.0848971,0.015987277,0.0019672234,0.39869082,0.09569269,0.08344927,JE-TMA-41
