,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-43_scene11_cell2377,7.35672,-2.2184885,-1.125293,-0.11855159,-2.9832945,-3.919712,-0.74274045,-0.1905555,-1.4453013,-4.606179,-1.587802,-2.3405583,-1390.977,-2.2189798,-1.4644248,-1.2564569,-2.1062484,-0.19734122,-1.4284154,-1.3238686,-2.972881,0.45153415,5.092804,-0.5301882,JE-TMA-43
JE-TMA-43_scene11_cell2728,17.654163,-2.2195277,-1.1330578,-0.12052355,-3.3442483,-3.946408,-0.73081535,-0.23139273,-2.0363872,-4.603609,-1.382538,-2.1171381,-1390.977,-2.3355374,-1.368471,-0.53599715,-2.1720564,0.9017317,-1.4365984,-1.2546204,-3.3302846,-0.17566633,-0.61569434,-0.39960733,JE-TMA-43
JE-TMA-43_scene11_cell1569,6.878956,-2.352459,-1.1311723,-0.110830046,-2.878694,-3.890658,-0.7589399,-0.21258037,-1.7934713,-4.722788,-1.336496,-2.4062982,-1390.977,-2.2860548,-1.7955849,-1.6879234,-2.161579,-1.1140482,-1.4237026,-0.33790842,-3.33818,-0.08336652,1.3259081,-0.5611228,JE-TMA-43
JE-TMA-43_scene11_cell479,3.6634035,-2.2402356,-1.10772,-0.0926734,-3.1206596,-3.9446647,-0.72619796,-0.12516098,-1.7580802,-4.7531834,-1.2872838,-2.1360557,-1390.977,-2.2344089,-1.5189105,-0.6261411,-2.0237708,0.94859004,-1.4171267,-1.1313101,11.579489,-0.017805224,0.31052908,-0.68631077,JE-TMA-43
JE-TMA-43_scene11_cell2137,8.049748,-1.7775073,-1.1698079,-0.19278523,-2.5765812,-3.694737,-0.79211926,-0.30515838,-2.053476,-4.750377,-1.0742769,-2.4888306,-1390.977,-2.4036624,-1.2476615,3.7891164,-2.189781,4.8487687,-1.4492831,-0.5859056,4.56405,-0.5515106,-1.7519578,-0.62146145,JE-TMA-43
JE-TMA-43_scene11_cell117,4.1611476,-2.0819712,-1.1450288,-0.1332067,-3.5649679,-4.065309,-0.75893146,-0.2295023,-1.3975449,-4.724432,-1.944677,-1.8829762,-1390.977,-2.3115132,-1.26684,2.3177462,-1.2488188,4.046929,-1.4431406,-1.3156873,3.880015,0.06991374,1.8423601,-0.029944321,JE-TMA-43
JE-TMA-43_scene11_cell2593,6.5209637,-2.2609587,-1.1150014,-0.14754984,-2.9763396,-3.929151,-0.7730017,-0.24585597,-1.9701555,-4.355537,-1.4425128,-2.1376653,-1390.977,-2.3041644,-1.5698464,-1.3766066,-2.2358704,-0.66291857,-1.4375997,-1.3779837,5.4770646,0.31905234,2.883368,-0.179163,JE-TMA-43
JE-TMA-43_scene11_cell476,14.339521,-2.3097754,-1.1541961,-0.15221867,-2.981032,-3.891517,-0.7752377,-0.23956953,-1.5764451,-4.764335,-1.8274616,-2.5905316,-1390.977,-2.3165793,-1.44349,0.36504245,-1.905755,0.93284655,-1.4479759,-1.3068609,-3.5838194,0.47622526,2.5484548,-0.52959156,JE-TMA-43
JE-TMA-43_scene11_cell784,6.118101,-2.0882065,-1.0772609,-0.06548212,-2.889055,-3.648048,-0.66719836,-0.10387544,-1.5673406,-4.7116,-1.5116857,-2.143358,-1390.977,-2.1576374,-1.547097,0.07932066,-1.9338998,2.9155498,-1.3635789,-1.2794399,3.8673568,0.52946556,0.826978,-0.16331269,JE-TMA-43
JE-TMA-43_scene11_cell1327,11.518382,-2.3319519,-1.1626409,-0.1619378,-2.3391604,-3.893588,-0.76993614,-0.2308989,-1.7188935,-4.6946187,-1.3821477,-2.3679607,-1390.977,-2.2561803,-1.6213415,-0.5477979,-2.2363555,0.13580845,-1.4265777,-1.1669434,2.130434,-0.07046092,0.66003615,-0.40908793,JE-TMA-43
JE-TMA-43_scene11_cell2592,2.8475184,-2.3495607,-1.1282903,-0.1773856,-2.5231993,-3.9790366,-0.78684694,-0.26617676,-2.0477738,-4.3843374,-1.4003581,-2.5553243,-1390.977,-2.556741,-1.6527585,-1.348816,-2.364764,-0.42131498,-1.4481772,-1.2837092,-0.7434846,0.27167487,1.2391213,-0.20696057,JE-TMA-43
JE-TMA-43_scene11_cell2319,7.065464,-1.9312174,-1.164492,-0.17815837,-2.6880121,-3.5199502,-0.7591151,-0.24141823,-1.5567722,-3.9671936,0.20688255,-2.3128226,-1390.2686,-2.260958,-1.1139433,0.67976904,-2.0909636,3.974442,-1.3819416,-1.2992263,-0.05866946,0.65886223,2.7380266,-0.5211004,JE-TMA-43
JE-TMA-43_scene11_cell2381,7.720191,-1.9229591,-1.0874655,-0.08292458,-3.0411785,-3.7528968,-0.69977427,-0.12258832,-1.2498136,-3.9611018,-1.5070854,-2.2632768,-1390.977,-2.1666665,-1.2699652,0.13135147,-2.0750947,3.3550587,-1.3906739,-1.1651238,-1.9347638,0.9538046,1.7185241,0.3250321,JE-TMA-43
JE-TMA-43_scene11_cell1554,4.094485,-1.318811,-1.1966476,-0.1864858,-2.423829,-3.5175338,-0.77633315,-0.32441026,-1.8031089,-4.719272,0.77020794,-2.0404043,-1390.977,-2.3711402,-1.0120306,7.02282,-2.136404,11.003871,-1.4156946,-1.1809145,0.008147346,-0.2767744,-1.5679733,-0.75146204,JE-TMA-43
JE-TMA-43_scene11_cell1716,5.8092995,-2.4503827,-1.1646005,-0.15744123,-2.6307378,-3.8721807,-0.7707838,-0.2825464,-2.039294,-4.7572613,-1.1568352,-2.475431,-1390.977,-2.4000769,-1.7674906,-1.8019586,-2.2376971,-1.9446652,-1.4555545,-0.6898029,-0.95826995,-0.31562984,0.12978181,-0.63260776,JE-TMA-43
JE-TMA-43_scene11_cell277,4.5346045,-2.233505,-1.0961586,-0.10924242,-2.9128792,-3.7969105,-0.7417028,-0.16679959,-1.5969394,-4.75518,-1.3931601,-2.6191926,-1390.977,-2.4321856,-1.3494688,-0.83780193,-2.019098,2.3316088,-1.4112344,-1.2233434,3.884315,0.7525593,2.4253654,-0.085350536,JE-TMA-43
JE-TMA-43_scene11_cell1776,3.7907596,-1.8971549,-1.1373333,-0.13595816,-3.0170224,-3.754472,-0.73543775,-0.1742218,-1.4868144,-1.8536999,-0.76599675,-1.7690376,-1390.977,-2.1869752,-1.0161682,0.2729435,-1.8611658,3.9455075,-1.4244004,-0.88484323,22.161549,0.69743025,2.1710453,-0.46729544,JE-TMA-43
JE-TMA-43_scene11_cell2020,5.7264314,-2.3196893,-1.1507092,-0.15660772,-3.007243,-3.8641694,-0.74184364,-0.22765492,-1.6783108,-4.722484,-1.371156,-2.20804,-1390.977,-2.3304842,-1.6997846,-1.5134168,-2.1343608,-0.653934,-1.4398947,-0.9894038,-1.2179121,0.06889974,0.70626193,-0.5681808,JE-TMA-43
JE-TMA-43_scene11_cell1399,4.1873407,-2.2460897,-1.1626464,-0.17263535,-2.0080867,-3.6301172,-0.76509094,-0.23269586,-1.2483994,-1.3557844,-0.9573993,-2.3736358,-1390.977,-2.2710097,-1.3878629,-1.3982104,-2.0981274,0.10731623,-1.4420112,-1.4243408,-1.6693376,0.0756694,1.2084082,-0.27420953,JE-TMA-43
JE-TMA-43_scene11_cell1443,1.2394379,-2.417367,-1.0314782,-0.06849525,-2.9937322,-3.4626842,-0.6849148,-0.08389847,-0.9771273,-3.0754035,-0.8533383,-1.3306683,-1390.977,-2.1561246,-1.442703,-0.271873,-1.9882932,1.2108932,-1.3542479,-1.4927409,16.964378,-0.028437858,0.1393722,28.385824,JE-TMA-43
JE-TMA-43_scene11_cell20,15.048624,-2.3876917,-1.1821085,-0.05023191,-2.598225,-3.9153674,-0.701082,-0.29069996,-1.710755,-4.764335,0.77364093,-2.6956756,-1390.977,-2.410412,-1.5802554,-1.3732105,-2.0503974,-0.3918846,-1.4106869,-1.2919602,-3.3767173,-0.054629095,0.91321236,-0.65873444,JE-TMA-43
JE-TMA-43_scene11_cell1455,7.9490223,-2.377979,-1.1517534,-0.18480381,-2.0664823,-3.834431,-0.78003,-0.2600932,-1.8637997,-4.7484336,-1.0500584,-2.374664,-1390.977,-2.3609838,-1.8134484,-1.4716028,-2.213284,-0.8576083,-1.4493747,-1.3333561,-1.9805459,-0.16236305,1.7614504,-0.57462895,JE-TMA-43
JE-TMA-43_scene11_cell938,3.2185216,-2.141085,-1.1729527,-0.18264672,-2.452082,-3.8731606,-0.7899167,-0.2388346,-1.8177695,-4.7471657,-1.6673903,-2.2714553,-1390.977,-2.336329,-1.5431736,0.5029001,-2.1552722,2.668748,-1.4594314,-1.2584018,-0.21039046,-0.06547285,0.12540182,-0.70519966,JE-TMA-43
JE-TMA-43_scene11_cell957,6.9574785,-2.2935135,-1.1611276,-0.17056277,-2.6666055,-3.8335,-0.77211946,-0.24172889,-1.6786815,-4.4394865,-1.8121996,-2.2343342,-1390.977,-2.3585546,-1.4674182,-0.8368714,-1.9695965,0.6948776,-1.4535483,-1.4703486,-3.4770563,-0.4519447,0.14473686,-0.79231274,JE-TMA-43
JE-TMA-43_scene11_cell2520,4.9411616,-2.2981048,-1.1227281,-0.14494511,-2.7336302,-3.835876,-0.75752133,-0.18557672,-1.8424346,-4.208948,-1.3719226,-2.1286347,-1390.977,-2.2936652,-1.6072518,-0.93859506,-2.273133,0.59443545,-1.4077038,-1.4596231,2.9179883,0.9600965,4.877074,-0.40342143,JE-TMA-43
JE-TMA-43_scene11_cell1695,13.431157,-2.2827256,-1.1498736,-0.1404557,-2.7232594,-3.7272737,-0.7539205,-0.23481332,-1.5937425,-3.7452521,-1.0770953,-2.2675977,-1390.977,-2.3951993,-1.7747315,-1.6993116,-1.9226656,-0.97374773,-1.4446439,-1.1127784,-3.9086678,-0.6302977,-1.1349894,-0.6003196,JE-TMA-43
JE-TMA-43_scene11_cell2071,5.836876,-1.7864574,-1.1578753,-0.15949687,-2.7577784,-3.9193327,-0.78528494,-0.25749117,-1.6058335,-4.6995068,-1.2349389,-2.0466695,-1390.977,-2.2741716,-0.6475169,9.242505,-2.158502,8.084788,-1.4556311,-1.1934673,4.7585263,0.08133399,-0.8375636,-0.6165586,JE-TMA-43
JE-TMA-43_scene11_cell1075,6.0487556,-2.282973,-1.1758054,-0.17397538,-2.5097241,-3.6517458,-0.7771837,-0.220995,-1.9483992,-4.764335,-1.3224885,-1.9415212,-1390.977,-2.322616,-1.5888555,-1.4432759,-1.8983977,-0.5483928,-1.4257356,-0.98497385,6.298365,-0.15071177,0.48329934,-0.25025502,JE-TMA-43
