,CD44_Ring,CD45_Ring,CD4_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell07682,2.0005963733719843,0.6774405828925991,0.7544998984482415,0.19278134836894797,0.44017459427163,0.4927036531789341,0.27791552587814844,0.3178311738049927,0.8264216190265123,0.6994433049910704,0.7740307138350628,0.9686834612326012,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00234,2.5232257981625765,0.743788691687931,0.6747578967492572,0.21322705939639003,0.4483298595920297,0.5196678371154279,0.3926296914546443,0.40905434062644364,0.986116569739565,1.7398351674609727,0.5736976840017934,0.9249820952782665,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07841,0.877228657104541,0.8254910664807287,0.8321937194545125,0.19573095883629807,0.4018231662640805,0.45947024721163643,0.28052831082816077,0.3074983453506528,0.8871673352417698,0.6631888332749246,0.5498810380493303,0.7810833765194848,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05243,1.2740440010965257,0.5654801868066072,0.6733426268317949,0.20817066227773115,0.4337041133230779,0.39891078047652684,0.3040987857229785,0.31748978231668656,0.829585856166184,0.645050396699261,0.9154463888837796,0.5599368893250021,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06488,0.46965266040610504,0.5421917562566225,0.4703523991036827,0.8737877965696492,0.46229983586361695,2.261205055799641,1.1774107643204448,0.2991525717484674,0.7744773450827407,0.4212724747404497,0.5148183846201354,0.5256535222168809,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05263,0.7958390593714958,0.4735141103410248,0.4083710471637446,0.17908546619672971,0.4143943081397894,0.35864348930419204,0.2642056962180371,0.3079869835539729,0.7669996366173416,0.4283328182483059,0.49273110687051797,0.5038060094146691,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04059,0.41723469988054723,0.5278616562814441,0.49882674126082854,0.2555162543531204,0.45125964377104,5.165579344950708,0.9459895265107074,0.39281784636922534,0.809946373950248,0.4402559703580359,0.4776317207937392,0.7003147201115015,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00766,0.42417244820623884,0.5865921909429078,0.5042241269915968,0.7335084445294471,0.4881824254931461,1.319087631976052,1.3132535653331028,0.4196952236146136,0.8227481124306226,0.44081895678844535,0.4963094350270943,0.665756437579584,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01168,0.4928309439155222,0.6233336344705057,0.5249899640544503,0.36430191780364585,0.5022088996879516,1.3063816150965872,1.4676229955701874,0.715659873101265,0.8612980247795021,0.5533965110637021,0.5649974388306853,0.7404051985811688,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01555,1.1836221914323435,0.6793673529039543,0.678002915410606,0.1915243630370296,0.41066089081069734,0.4737721864647969,0.28176080624807004,0.3419621758903656,0.8915569742582894,0.5630548689408387,0.522439508039749,0.9652017044647895,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04596,0.7138004299959317,0.6112027119959618,0.5840991463766241,0.4082873470966319,0.47614061914566835,1.0795882860721269,1.2276967922848843,0.34661340847898325,0.8625412920558712,0.5229153615935023,0.5964040770768858,0.699380898471006,BM-Her2N75-15
