,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell02328,0.013214466140625549,0.016564945508470524,0.007145238443891193,0.020471749981193988,0.011242408192647647,0.010486659082119962,0.010142324879831856,0.008515619805977915,0.01697494465673208,0.019943348899732,0.012923426399919334,0.00032995801191451293,0.019537442676235424,0.018359427047494783,0.0025165790153530267,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06206,0.014062888483243201,0.004526797094515189,0.010132515249071028,0.013682695397325462,0.0016847655800530893,0.009858957610245007,0.018189027636427303,0.009944285119748562,0.00785417740503446,0.008103279257709857,0.0020817475850962988,0.0005978502809104324,0.009147909219710582,0.011854679372922486,0.01935868969456634,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04899,0.09424694052387374,0.017207030945892012,0.016213145035673483,0.00680006247624896,0.017854811866786315,0.018441357751702876,0.0013584136871805463,0.014644908365611315,0.01432097935299042,0.01228862288946839,0.010789560648438605,0.012784953316836392,0.010476367058269005,0.0034460824457261995,0.00834169561106591,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07139,0.015409708579996571,0.017031648616935454,0.016419337655706752,0.0016553490545002704,0.018242876862321622,0.018966418370360904,0.005707813892217093,0.008644413421924528,0.0005168857664097404,0.13008201764971628,0.0178415129737141,0.01586978594880524,0.017940392513919705,0.0013221027313162748,0.014643527785252223,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03029,0.006534804722287628,0.01942108199045443,0.01199497354096885,0.022224408448015365,0.0032971445548713495,0.01727996232059705,0.013677452471997111,0.00253179299673693,0.003926418123222391,0.012801513554337075,0.01651306335481403,0.01807255193749403,0.00048193581585580513,0.016980201346196235,0.004906264826999316,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03610,0.0043903956059314075,0.0011285957913201928,0.01442470862178809,0.0011318919109231662,0.011677117718824941,0.010736597902231509,0.0001515565669056218,0.02836940738303087,0.2902941648951588,0.24691933769912566,0.009959971374938573,0.0022937448469954225,0.003949950673550198,0.015544039247259294,0.008432665366495493,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06020,0.001769979066443399,0.006237184776976592,0.019913111771537456,0.014563311263321702,0.015713138623698938,0.002511960273179328,0.009752627556757279,0.017773928095432157,0.14347307831436262,0.005944738865032098,0.011035785141425334,0.0007169442631960488,0.013784435834950686,0.00227973784962801,0.015238113760762964,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01750,0.006661494093352092,0.001717373310274697,0.0010495016206648034,0.013818191054449707,0.017054282372252625,0.008645647197310938,0.0012327474810108763,0.017373808683656376,0.09441825254961123,0.3108176705588994,0.011435908454162945,0.015279361555075196,0.019075678467875987,0.007703599333582711,0.010207098394836222,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05548,0.01813466178237655,0.011041372905126173,0.0009730665836231389,0.01942870994419163,0.016852651677663692,0.013588614094274159,0.006209414495205566,0.0007335621638664058,0.019633003092957554,0.08162008215336736,0.06420597208661687,0.008786036657821508,0.0013680892167538762,0.002937117653002044,0.009127904535876375,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01235,0.017036820978113994,0.015671071786588595,0.009568439771190247,0.0037130225152808573,0.0019844089927661336,0.009050759039254555,0.012244110515511407,0.015017358146381088,0.01803107873827425,0.023812863637600434,0.002589326110808001,0.0009870514030015354,0.019003257423683088,0.006789232041243212,0.012716085281636747,BM-Her2N75-15
