,CK19,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK5,CK7,Ecad,Ki67,LamAC,PCNA,pHH3,ER,batch
JE-TMA-43_scene08_cell3549,1.2122078,1.8452023,0.04023602,0.092661195,0.22152032,0.06938017,0.05402375,0.024631158,0.19065303,0.38229844,0.0043948283,0.3854805,0.61190027,0.0,0.15818383,0.49585268,0.23336507,0.57438034,0.1606646,4.8613625,0.68247795,0.09917681,0.5683506,0.37583712,JE-TMA-43
JE-TMA-43_scene08_cell7155,0.7283657,1.902544,0.029817123,0.08103306,0.17114341,0.14588365,0.059707653,0.020499974,0.14840963,0.2936806,0.008272618,0.40078673,0.43145275,0.0,0.19224247,0.4526443,0.18335426,0.3491269,0.12994306,1.1253911,0.5185787,0.085434526,0.5745036,0.45896202,JE-TMA-43
JE-TMA-43_scene08_cell1081,2.4932804,3.892981,0.05948947,0.057631813,0.15977512,0.14614011,0.08585658,0.028239753,0.17310369,0.529267,0.0067371363,0.3789515,0.74114066,0.0,0.1687074,0.5195551,0.21806711,1.6450891,0.33703125,0.22968248,0.61734015,0.14805308,0.61548686,0.5225996,JE-TMA-43
JE-TMA-43_scene08_cell8572,0.9488835,1.9337984,0.031459928,0.11336459,0.26642507,0.08904126,0.089046605,0.036515076,0.24877279,0.3470657,0.01434497,0.4914313,0.5261299,0.0,0.17399114,0.5633951,0.20894217,0.3776892,0.18425372,1.0797923,0.78576624,0.3860676,0.56906414,0.575502,JE-TMA-43
JE-TMA-43_scene08_cell1775,1.6550665,4.197198,0.056062408,0.13852318,0.3836681,0.10062949,0.086084224,0.066315465,0.26839873,0.9068913,0.0071076043,0.5059201,0.62345177,4.471126e-06,0.17463244,0.5007899,0.23574226,0.8448589,0.30253774,0.3763683,0.60109884,0.14317992,0.54033434,0.42517906,JE-TMA-43
JE-TMA-43_scene08_cell8594,1.2262866,2.726759,0.052784972,0.20736237,0.2867964,0.07270299,0.09496564,0.075080544,0.31125832,0.52006525,0.034086764,0.7028243,0.83897316,0.0,0.16178706,0.52779555,0.23796514,0.66400963,0.17614755,0.28937232,0.7991209,0.13050216,0.6159078,0.59288377,JE-TMA-43
JE-TMA-43_scene08_cell4165,1.5140047,3.1887844,0.045907144,0.06563989,0.15244864,0.21139033,0.09375305,0.021800846,0.12262002,0.37523454,0.022082081,0.4591793,0.5619064,3.4071607e-05,0.16128947,0.5166201,0.21509968,0.7492567,0.19956991,0.55524105,0.56956756,0.17783065,0.58283097,0.6368842,JE-TMA-43
JE-TMA-43_scene08_cell7504,1.8507365,7.0652666,0.047592465,0.12403822,0.20976643,0.102701806,0.08785589,0.046954382,0.25774512,0.5287321,0.028450064,0.52496517,0.46390563,0.0,0.18202417,0.506847,0.20446643,0.5131815,0.28027746,0.28690514,0.8763594,0.1694456,0.6062452,0.7658589,JE-TMA-43
JE-TMA-43_scene08_cell4889,0.6917438,7.108413,0.04975743,0.102309816,0.17217836,0.17075418,0.1242966,0.035935972,0.22245687,0.37931362,0.03216281,0.6840675,0.50791454,1.5458898e-05,0.12473038,0.4712877,0.23613888,0.42798734,0.34726322,0.40946448,0.57330173,0.3941652,0.5443029,0.6742787,JE-TMA-43
JE-TMA-43_scene08_cell8364,1.301225,4.4933286,0.048640274,0.08916599,0.19743833,0.09390947,0.07676369,0.032602903,0.18197943,0.6051934,0.03094426,0.51741654,0.62888074,0.0,0.15951298,0.4881692,0.21525994,0.57813793,0.27613562,0.31632328,0.50669664,0.1599125,0.4994522,0.4473533,JE-TMA-43
JE-TMA-43_scene08_cell2691,0.6109723,5.8589406,0.03254397,0.08026238,0.16302519,0.12074563,0.09888393,0.059818026,0.2069776,0.5037408,0.03293572,0.5196039,0.45135137,2.658664e-05,0.15614408,0.43427378,0.21565495,0.3756379,0.78653383,0.3162826,0.79926807,0.5594615,0.6242225,0.88046956,JE-TMA-43
JE-TMA-43_scene08_cell592,0.49740893,2.6418512,0.03753384,0.04755068,0.10458394,0.13608372,0.08364025,0.018102419,0.1774044,0.34224337,0.0013028282,0.15824904,0.41376862,0.0,0.15229645,0.43419632,0.20121408,0.33663565,0.27721953,0.14462192,0.49604154,0.19832718,0.51960826,0.28598085,JE-TMA-43
JE-TMA-43_scene08_cell6096,0.87603885,2.2106802,0.03086789,0.095547244,0.21973346,0.13507698,0.06893122,0.026101336,0.23737572,0.4286159,0.026022898,0.3173485,0.51137275,0.0,0.16786689,0.45565104,0.20455498,0.39083096,0.1653429,0.15084676,0.6217654,0.14672418,0.49848804,0.33155552,JE-TMA-43
JE-TMA-43_scene08_cell545,0.7291965,4.304399,0.03656309,0.12790477,0.24302575,0.116700664,0.08834668,0.057218403,0.34126472,0.2908615,0.012935233,0.26789036,0.35273686,0.0,0.18580694,0.45094025,0.21795365,0.46350482,0.47456285,0.11917103,0.47380346,0.18709214,0.5269123,0.79017586,JE-TMA-43
JE-TMA-43_scene08_cell4428,1.3306093,2.4803886,0.040432736,0.062305197,0.21363753,0.11276621,0.07106176,0.018700166,0.1523059,0.6079126,0.031766985,0.27290154,0.63986194,0.0,0.15093364,0.51677495,0.22447048,0.61131227,0.15755601,1.5647582,0.59386665,0.24384485,0.59012526,0.43816537,JE-TMA-43
JE-TMA-43_scene08_cell159,1.255218,1.9993645,0.03283444,0.043713544,0.12924506,0.14648354,0.081510775,0.019491399,0.09308065,0.12037391,0.0083107585,0.13035522,0.4004649,0.0,0.15680459,0.5837546,0.23680441,0.7650942,0.15329291,1.0345623,0.46709064,0.17194803,0.60486805,0.41997725,JE-TMA-43
JE-TMA-43_scene08_cell3052,1.0354977,3.7964466,0.033984125,0.08848963,0.22205262,0.0801445,0.07624021,0.027600097,0.18005824,0.42919257,0.016041003,0.40886247,0.7177349,0.0,0.1351593,0.43622056,0.21210787,0.44989067,0.5328416,2.603184,0.4490385,0.23435654,1.1670722,0.486409,JE-TMA-43
JE-TMA-43_scene08_cell932,1.1210824,3.2337265,0.03133795,0.068053156,0.16582495,0.1504874,0.083835535,0.026117764,0.19076522,0.4159157,0.004085739,0.37948138,0.5940123,0.0,0.16593906,0.496768,0.22288312,0.43185195,0.1781004,0.07001462,0.78300875,0.17974961,0.5187631,0.3334045,JE-TMA-43
JE-TMA-43_scene08_cell3097,1.3344873,6.555685,0.05339448,0.0867649,0.18976715,0.07675068,0.073742025,0.043534685,0.1890551,0.46221787,0.008701139,0.40289503,0.5750042,0.0,0.15402947,0.47998276,0.21114427,0.76757956,0.29831374,0.12314838,0.6471592,0.2108989,0.5771704,0.87847453,JE-TMA-43
JE-TMA-43_scene08_cell5484,3.0133882,3.8053918,0.066400945,0.08379989,0.24370953,0.103745304,0.084199466,0.04935107,0.20099519,0.3583452,0.015426054,0.30776656,0.52211815,1.4256987e-06,0.18504976,0.83431673,0.23623537,1.6279478,0.5143462,0.44860584,0.5866995,0.27826792,0.5513175,1.0554615,JE-TMA-43
JE-TMA-43_scene08_cell4216,0.7641092,2.509627,0.033640034,0.08608078,0.20697777,0.07146369,0.06564636,0.022964196,0.19395326,0.34383386,0.005741169,0.2755939,0.50586677,0.0,0.15251093,0.43176565,0.2071186,0.40214652,0.15359573,0.42533568,0.5304474,0.14823525,0.5267568,0.60530883,JE-TMA-43
