,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-09_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-09,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-09_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-09,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-09_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-09,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-09_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-09,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-10_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-10,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-10_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-10,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-10_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-10,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-10_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-10,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-10_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-10,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-11_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-11,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-11_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-11,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-11_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-11,R0c3,JE-TMA-42,200.0,0.0
