,rounds,color,imagetype,scene,marker
Registered-R6_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R6,c1,ORG,B1640-T8-5-Scene-001,DAPI
Registered-R6_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R6,c2,ORG,B1640-T8-5-Scene-001,488
Registered-R6_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R6,c3,ORG,B1640-T8-5-Scene-001,555
Registered-R6_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R6,c1,ORG,B1640-T8-6-Scene-001,DAPI
Registered-R6_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R6,c2,ORG,B1640-T8-6-Scene-001,488
Registered-R6_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R6,c3,ORG,B1640-T8-6-Scene-001,555
Registered-R7_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R7,c1,ORG,B1640-T8-3-Scene-001,DAPI
Registered-R7_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R7,c2,ORG,B1640-T8-3-Scene-001,488
Registered-R7_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R7,c3,ORG,B1640-T8-3-Scene-001,555
Registered-R7_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R7,c1,ORG,B1640-T8-4-Scene-001,DAPI
Registered-R7_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R7,c2,ORG,B1640-T8-4-Scene-001,488
Registered-R7_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R7,c3,ORG,B1640-T8-4-Scene-001,555
Registered-R7_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R7,c1,ORG,B1640-T8-5-Scene-001,DAPI
Registered-R7_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R7,c2,ORG,B1640-T8-5-Scene-001,488
Registered-R7_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R7,c3,ORG,B1640-T8-5-Scene-001,555
Registered-R7_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R7,c1,ORG,B1640-T8-6-Scene-001,DAPI
Registered-R7_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R7,c2,ORG,B1640-T8-6-Scene-001,488
Registered-R7_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R7,c3,ORG,B1640-T8-6-Scene-001,555
