,rounds,color,imagetype,scene,marker,tissue,exposure,round_int,result
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-5-Scene-001_c1_ORG.tif,R1,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,10.0,1.0,950.7254584778935
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-5-Scene-001_c2_ORG.tif,R1,c2,ORG,B1640-T8-5-Scene-001,CK7-Vimentin,B1640-T8-5,10.0,1.0,1033.4444906493961
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-5-Scene-001_c3_ORG.tif,R1,c3,ORG,B1640-T8-5-Scene-001,CK14-CD68,B1640-T8-5,60.0,1.0,1061.7854414102733
Registered-R2_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R2,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,5.0,2.0,1836.2158581882413
Registered-R2_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R2,c2,ORG,B1640-T8-5-Scene-001,488,B1640-T8-5,50.0,2.0,2104.063280205631
Registered-R2_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R2,c3,ORG,B1640-T8-5-Scene-001,555,B1640-T8-5,200.0,2.0,553.5162204156394
Registered-R3_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R3,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,10.0,3.0,2132.1162606138214
Registered-R3_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R3,c2,ORG,B1640-T8-5-Scene-001,488,B1640-T8-5,50.0,3.0,1272.5612702237331
Registered-R3_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R3,c3,ORG,B1640-T8-5-Scene-001,555,B1640-T8-5,200.0,3.0,513.9187987986032
Registered-R4_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R4,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,10.0,4.0,2445.469420553439
Registered-R4_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R4,c2,ORG,B1640-T8-5-Scene-001,488,B1640-T8-5,50.0,4.0,1132.645581246696
Registered-R4_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R4,c3,ORG,B1640-T8-5-Scene-001,555,B1640-T8-5,200.0,4.0,515.3232566805929
Registered-R5_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R5,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,10.0,5.0,2663.1577629183234
Registered-R5_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R5,c2,ORG,B1640-T8-5-Scene-001,488,B1640-T8-5,50.0,5.0,1186.398837615148
Registered-R5_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R5,c3,ORG,B1640-T8-5-Scene-001,555,B1640-T8-5,200.0,5.0,563.9392808270659
Registered-R6_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R6,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,10.0,6.0,2703.699525727556
Registered-R6_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R6,c2,ORG,B1640-T8-5-Scene-001,488,B1640-T8-5,50.0,6.0,1295.4797241899587
Registered-R6_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R6,c3,ORG,B1640-T8-5-Scene-001,555,B1640-T8-5,200.0,6.0,537.8642109807563
Registered-R7_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R7,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,10.0,7.0,3129.280930731774
Registered-R7_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R7,c2,ORG,B1640-T8-5-Scene-001,488,B1640-T8-5,50.0,7.0,1246.4152728547858
Registered-R7_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R7,c3,ORG,B1640-T8-5-Scene-001,555,B1640-T8-5,200.0,7.0,512.2362193611865
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-6-Scene-001_c1_ORG.tif,R1,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,10.0,1.0,1031.1808356735826
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-6-Scene-001_c2_ORG.tif,R1,c2,ORG,B1640-T8-6-Scene-001,CK7-Vimentin,B1640-T8-6,10.0,1.0,1532.8880827176429
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-6-Scene-001_c3_ORG.tif,R1,c3,ORG,B1640-T8-6-Scene-001,CK14-CD68,B1640-T8-6,60.0,1.0,1176.5596008949185
Registered-R2_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R2,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,5.0,2.0,1458.1610299730753
Registered-R2_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R2,c2,ORG,B1640-T8-6-Scene-001,488,B1640-T8-6,50.0,2.0,844.0299920936767
Registered-R2_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R2,c3,ORG,B1640-T8-6-Scene-001,555,B1640-T8-6,200.0,2.0,398.67795946537
Registered-R3_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R3,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,10.0,3.0,1735.064349569374
Registered-R3_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R3,c2,ORG,B1640-T8-6-Scene-001,488,B1640-T8-6,50.0,3.0,696.3686377626744
Registered-R3_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R3,c3,ORG,B1640-T8-6-Scene-001,555,B1640-T8-6,200.0,3.0,364.1737002306639
Registered-R4_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R4,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,10.0,4.0,1510.7515364729095
Registered-R4_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R4,c2,ORG,B1640-T8-6-Scene-001,488,B1640-T8-6,50.0,4.0,517.0715927512655
Registered-R4_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R4,c3,ORG,B1640-T8-6-Scene-001,555,B1640-T8-6,200.0,4.0,320.8432068825303
Registered-R5_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R5,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,10.0,5.0,1518.249957993642
Registered-R5_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R5,c2,ORG,B1640-T8-6-Scene-001,488,B1640-T8-6,50.0,5.0,552.8283277482743
Registered-R5_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R5,c3,ORG,B1640-T8-6-Scene-001,555,B1640-T8-6,200.0,5.0,342.5348637285369
Registered-R6_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R6,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,10.0,6.0,1428.021887326004
Registered-R6_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R6,c2,ORG,B1640-T8-6-Scene-001,488,B1640-T8-6,50.0,6.0,517.470335634539
Registered-R6_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R6,c3,ORG,B1640-T8-6-Scene-001,555,B1640-T8-6,200.0,6.0,308.4737425122061
Registered-R7_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R7,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,10.0,7.0,1490.202144043435
Registered-R7_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R7,c2,ORG,B1640-T8-6-Scene-001,488,B1640-T8-6,50.0,7.0,558.6057304678394
Registered-R7_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R7,c3,ORG,B1640-T8-6-Scene-001,555,B1640-T8-6,200.0,7.0,322.8851711861199
