,rounds,color,imagetype,scene,marker,tissue,exposure,round_int,result
Registered-R3_blank.blank.blank.blank_4165NPanc-74-Scene-001_c4_ORG.tif,R3,c4,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,120.0,3.0,387.2004061664847
Registered-R3_blank.blank.blank.blank_4165NPanc-74-Scene-001_c5_ORG.tif,R3,c5,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,160.0,3.0,490.7669118364287
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-74-Scene-001,DAPI,4165NPanc-74,10.0,4.0,4201.444978761942
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,12.0,4.0,454.8450548965186
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,35.0,4.0,234.20882437348746
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,120.0,4.0,395.75943453659113
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,160.0,4.0,487.2297470601106
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-74-Scene-001,DAPI,4165NPanc-74,7.0,5.0,2931.7596006643357
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,12.0,5.0,438.6338872877101
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,35.0,5.0,222.44127101506695
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,120.0,5.0,387.3633134856507
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,160.0,5.0,492.1522173169434
Registered-R6_blank.blank.blank.blank_4165NPanc-74-Scene-001_c1_ORG.tif,R6,c1,ORG,4165NPanc-74-Scene-001,DAPI,4165NPanc-74,7.0,6.0,3166.513188534047
Registered-R6_blank.blank.blank.blank_4165NPanc-74-Scene-001_c2_ORG.tif,R6,c2,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,12.0,6.0,486.92592871091784
Registered-R6_blank.blank.blank.blank_4165NPanc-74-Scene-001_c3_ORG.tif,R6,c3,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,35.0,6.0,234.02513977725144
Registered-R6_blank.blank.blank.blank_4165NPanc-74-Scene-001_c4_ORG.tif,R6,c4,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,120.0,6.0,389.8108102666586
Registered-R6_blank.blank.blank.blank_4165NPanc-74-Scene-001_c5_ORG.tif,R6,c5,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,160.0,6.0,491.75747433487663
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c1_ORG.tif,R1,c1,ORG,4165NPanc-75-Scene-001,DAPI,4165NPanc-75,10.0,1.0,2292.217902520692
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c2_ORG.tif,R1,c2,ORG,4165NPanc-75-Scene-001,CK7,4165NPanc-75,12.0,1.0,886.7280091903294
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c3_ORG.tif,R1,c3,ORG,4165NPanc-75-Scene-001,CoxIV,4165NPanc-75,35.0,1.0,946.8949110578527
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c4_ORG.tif,R1,c4,ORG,4165NPanc-75-Scene-001,LaminB1,4165NPanc-75,120.0,1.0,1776.5191698896379
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c5_ORG.tif,R1,c5,ORG,4165NPanc-75-Scene-001,Ecad,4165NPanc-75,160.0,1.0,1355.725149815428
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c1_ORG.tif,R2,c1,ORG,4165NPanc-75-Scene-001,DAPI,4165NPanc-75,10.0,2.0,2308.9189310014003
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c2_ORG.tif,R2,c2,ORG,4165NPanc-75-Scene-001,CK7,4165NPanc-75,12.0,2.0,510.2086341753657
