,DAPI_X,DAPI_Y,scene
JE-TMA-41_scene01_cell00080,3111.094076655052,1110.3588850174215,scene01
JE-TMA-41_scene01_cell00081,4072.167832167832,1110.951048951049,scene01
JE-TMA-41_scene01_cell00082,3001.0246913580245,1119.5061728395062,scene01
JE-TMA-41_scene01_cell00083,3017.983277591973,1116.7491638795987,scene01
JE-TMA-41_scene01_cell00084,3411.569977426637,1122.4198645598194,scene01
JE-TMA-41_scene01_cell00085,3433.9773462783173,1116.2588996763754,scene01
JE-TMA-41_scene01_cell00086,3496.0969162995593,1113.8458149779735,scene01
JE-TMA-41_scene01_cell00087,3898.3691460055097,1117.5371900826449,scene01
JE-TMA-41_scene01_cell00088,3169.408759124088,1125.4720194647202,scene01
JE-TMA-41_scene01_cell00089,3453.4198473282445,1118.2519083969466,scene01
JE-TMA-41_scene01_cell00090,3603.4952830188677,1115.3915094339625,scene01
JE-TMA-41_scene01_cell00091,3944.2279202279205,1114.8974358974358,scene01
JE-TMA-41_scene01_cell00092,2918.862155388472,1121.080200501253,scene01
JE-TMA-41_scene01_cell00093,3285.311475409836,1115.9303278688524,scene01
JE-TMA-41_scene01_cell00094,3872.5299777942255,1130.219096965211,scene01
JE-TMA-41_scene01_cell00095,3268.660968660969,1121.3846153846157,scene01
JE-TMA-41_scene01_cell00096,3107.775740479549,1132.3624823695345,scene01
JE-TMA-41_scene01_cell00097,2885.219330855018,1119.817843866171,scene01
JE-TMA-41_scene01_cell00098,2979.3100436681225,1125.0131004366813,scene01
JE-TMA-41_scene01_cell00099,4100.9,1118.8166666666666,scene01
JE-TMA-41_scene01_cell00100,2966.680898876405,1129.3550561797756,scene01
JE-TMA-41_scene01_cell00101,4113.569105691057,1120.0894308943089,scene01
JE-TMA-41_scene01_cell00102,3029.410557184751,1131.991202346041,scene01
JE-TMA-41_scene01_cell00103,3235.345905172414,1137.9655172413793,scene01
JE-TMA-41_scene01_cell00104,3503.2472222222223,1136.4972222222225,scene01
JE-TMA-41_scene01_cell00105,4126.287234042553,1127.1382978723404,scene01
JE-TMA-41_scene01_cell00106,3717.680327868853,1128.8237704918033,scene01
JE-TMA-41_scene01_cell00107,4034.8119266055046,1126.6743119266055,scene01
JE-TMA-41_scene01_cell00108,3011.7452229299365,1130.904458598726,scene01
JE-TMA-41_scene01_cell00109,3915.0610932475893,1154.6411575562704,scene01
JE-TMA-41_scene01_cell00110,4065.452348993289,1139.5436241610741,scene01
JE-TMA-41_scene01_cell00111,3943.2250922509215,1132.590405904059,scene01
JE-TMA-41_scene01_cell00112,3317.376404494382,1136.0561797752812,scene01
JE-TMA-41_scene01_cell00113,2892.113402061856,1129.0103092783506,scene01
JE-TMA-41_scene01_cell00114,4159.772277227723,1131.1683168316831,scene01
JE-TMA-41_scene01_cell00115,2905.3529411764707,1132.7352941176468,scene01
JE-TMA-41_scene01_cell00116,3209.3676042677007,1150.3132880698352,scene01
JE-TMA-41_scene01_cell00117,3756.3389830508477,1136.8399246704332,scene01
JE-TMA-41_scene01_cell00118,3385.536312849162,1132.5027932960893,scene01
JE-TMA-41_scene01_cell00119,3797.625,1136.54296875,scene01
JE-TMA-41_scene01_cell00120,4139.546052631579,1132.9473684210527,scene01
JE-TMA-41_scene01_cell00121,3269.7655502392345,1136.842105263158,scene01
JE-TMA-41_scene01_cell00122,3433.8916967509026,1148.0505415162456,scene01
JE-TMA-41_scene01_cell00123,3674.2751677852343,1134.1140939597315,scene01
JE-TMA-41_scene01_cell00124,3088.2282878411906,1144.1712158808932,scene01
JE-TMA-41_scene01_cell00125,3155.995454545455,1139.3136363636365,scene01
JE-TMA-41_scene01_cell00126,4092.891224862889,1156.6928702010969,scene01
JE-TMA-41_scene01_cell00127,3073.661224489796,1139.3183673469389,scene01
JE-TMA-41_scene01_cell00128,3133.3719512195116,1140.6585365853662,scene01
JE-TMA-41_scene01_cell00129,4222.4820982514575,1151.7535387177352,scene01
JE-TMA-41_scene01_cell00130,3644.9615384615386,1139.553846153846,scene01
JE-TMA-41_scene01_cell00131,4008.879917184265,1147.3747412008279,scene01
JE-TMA-41_scene01_cell00132,3549.198511166253,1148.8287841191068,scene01
JE-TMA-41_scene01_cell00133,3292.0066666666667,1143.5866666666666,scene01
JE-TMA-41_scene01_cell00134,2895.7654320987654,1142.469135802469,scene01
JE-TMA-41_scene01_cell00135,3568.350364963504,1153.4671532846714,scene01
JE-TMA-41_scene01_cell00136,3837.3352353780324,1151.944365192582,scene01
JE-TMA-41_scene01_cell00137,3057.9081632653056,1149.8954081632653,scene01
JE-TMA-41_scene01_cell00138,3368.785234899329,1151.4228187919466,scene01
JE-TMA-41_scene01_cell00139,3475.593220338983,1148.3135593220336,scene01
JE-TMA-41_scene01_cell00140,3154.296341463414,1156.3829268292684,scene01
JE-TMA-41_scene01_cell00141,3006.8381642512077,1161.3502415458936,scene01
JE-TMA-41_scene01_cell00142,3945.486133768352,1155.389885807504,scene01
JE-TMA-41_scene01_cell00143,3322.1517412935327,1157.0547263681592,scene01
JE-TMA-41_scene01_cell00144,2896.272030651341,1151.83908045977,scene01
JE-TMA-41_scene01_cell00145,3778.520886615516,1163.468883205456,scene01
JE-TMA-41_scene01_cell00146,4047.416666666666,1154.6436781609195,scene01
JE-TMA-41_scene01_cell00147,2940.9517684887455,1155.871382636656,scene01
JE-TMA-41_scene01_cell00148,3667.0,1159.2988505747126,scene01
JE-TMA-41_scene01_cell00149,3715.233333333333,1157.4285714285713,scene01
JE-TMA-41_scene01_cell00150,4293.949183303084,1159.1724137931035,scene01
JE-TMA-41_scene01_cell00151,4172.1958146487295,1162.949177877429,scene01
JE-TMA-41_scene01_cell00152,2997.2820512820513,1159.0448717948718,scene01
JE-TMA-41_scene01_cell00153,3534.7383966244724,1157.8945147679324,scene01
JE-TMA-41_scene01_cell00154,3075.687203791469,1158.5308056872036,scene01
JE-TMA-41_scene01_cell00155,3608.797687861272,1158.6531791907514,scene01
JE-TMA-41_scene01_cell00156,4195.722350230415,1187.1516897081412,scene01
JE-TMA-41_scene01_cell00157,2901.2293577981654,1158.9633027522937,scene01
JE-TMA-41_scene01_cell00158,3745.701275045538,1169.032786885246,scene01
JE-TMA-41_scene01_cell00159,3856.3905429071806,1170.2504378283713,scene01
JE-TMA-41_scene01_cell00160,4138.03743315508,1163.1898395721926,scene01
JE-TMA-41_scene01_cell00161,4270.86,1164.725,scene01
JE-TMA-41_scene01_cell00162,3446.8669527896996,1167.8025751072962,scene01
JE-TMA-41_scene01_cell00163,3805.529274004684,1171.7985948477753,scene01
JE-TMA-41_scene01_cell00164,3654.12,1171.2166666666667,scene01
JE-TMA-41_scene01_cell00165,4033.5078125,1167.734375,scene01
JE-TMA-41_scene01_cell00166,2923.0,1174.991150442478,scene01
JE-TMA-41_scene01_cell00167,3590.284172661871,1173.863309352518,scene01
JE-TMA-41_scene01_cell00168,4079.9696969696975,1170.5757575757575,scene01
JE-TMA-41_scene01_cell00169,3901.6923076923076,1171.0726495726494,scene01
JE-TMA-41_scene01_cell00170,4268.612855007474,1184.9551569506727,scene01
JE-TMA-41_scene01_cell00171,3319.493606138107,1178.4961636828646,scene01
JE-TMA-41_scene01_cell00172,4064.3519163763067,1175.2926829268292,scene01
JE-TMA-41_scene01_cell00173,3077.591572123177,1180.2058346839547,scene01
JE-TMA-41_scene01_cell00174,3128.696969696969,1172.8848484848486,scene01
JE-TMA-41_scene01_cell00175,3363.320388349515,1172.9029126213593,scene01
JE-TMA-41_scene01_cell00176,3951.163265306121,1174.8979591836735,scene01
JE-TMA-41_scene01_cell00177,4143.355828220859,1176.9672801635988,scene01
JE-TMA-41_scene01_cell00178,4353.948571428571,1170.0742857142855,scene01
JE-TMA-41_scene01_cell00179,4225.777528089888,1190.265168539326,scene01
JE-TMA-41_scene01_cell00180,3711.410732714138,1191.4189886480908,scene01
JE-TMA-41_scene01_cell00181,3292.2391991570075,1186.3508956796627,scene01
JE-TMA-41_scene01_cell00182,3411.0289855072465,1176.5169082125603,scene01
JE-TMA-41_scene01_cell00183,3898.570405727924,1189.3090692124103,scene01
JE-TMA-41_scene01_cell00184,4382.638418079097,1174.8870056497176,scene01
JE-TMA-41_scene01_cell00185,3192.1329787234044,1180.4521276595744,scene01
JE-TMA-41_scene01_cell00186,3689.7846607669617,1182.5870206489674,scene01
JE-TMA-41_scene01_cell00187,3758.711899791232,1190.6367432150314,scene01
JE-TMA-41_scene01_cell00188,4106.968076616121,1199.8180367118914,scene01
JE-TMA-41_scene01_cell00189,3587.798333333333,1192.66,scene01
JE-TMA-41_scene01_cell00190,2945.7476851851848,1192.388888888889,scene01
JE-TMA-41_scene01_cell00191,4412.1875,1178.6625,scene01
JE-TMA-41_scene01_cell00192,3992.263698630137,1201.2808219178082,scene01
JE-TMA-41_scene01_cell00193,2998.3389830508477,1185.7830508474574,scene01
JE-TMA-41_scene01_cell00194,3038.786096256685,1186.9251336898394,scene01
JE-TMA-41_scene01_cell00195,3664.06640625,1193.875,scene01
JE-TMA-41_scene01_cell00196,4446.448648648649,1182.4486486486487,scene01
JE-TMA-41_scene01_cell00197,3148.4727272727278,1186.3696969696969,scene01
JE-TMA-41_scene01_cell00198,3171.7943548387098,1189.5604838709678,scene01
JE-TMA-41_scene01_cell00199,3265.546783625731,1189.7251461988305,scene01
JE-TMA-41_scene01_cell00200,3866.1960352422907,1204.227973568282,scene01
JE-TMA-41_scene01_cell00201,3952.501577287066,1190.9242902208202,scene01
JE-TMA-41_scene01_cell00202,2913.918566775245,1194.3094462540714,scene01
JE-TMA-41_scene01_cell00203,3012.136645962733,1190.9813664596272,scene01
JE-TMA-41_scene01_cell00204,4495.404081632653,1184.9795918367347,scene01
JE-TMA-41_scene01_cell00205,3825.201634877384,1195.0463215258856,scene01
JE-TMA-41_scene01_cell00206,2840.0289855072465,1193.9420289855072,scene01
JE-TMA-41_scene01_cell00207,3226.832718327183,1202.4378843788436,scene01
JE-TMA-41_scene01_cell00208,4065.243243243243,1195.0648648648648,scene01
JE-TMA-41_scene01_cell00209,4561.283154121864,1186.763440860215,scene01
JE-TMA-41_scene01_cell00210,4042.502857142857,1192.3857142857146,scene01
JE-TMA-41_scene01_cell00211,3969.1576923076923,1196.6115384615384,scene01
JE-TMA-41_scene01_cell00212,3125.9113924050635,1195.5569620253166,scene01
JE-TMA-41_scene01_cell00213,3631.291277258567,1206.3239875389406,scene01
JE-TMA-41_scene01_cell00214,2902.146974063401,1203.2478386167147,scene01
JE-TMA-41_scene01_cell00215,3938.593790426908,1204.314359637775,scene01
JE-TMA-41_scene01_cell00216,4247.0102249488755,1203.2044989775052,scene01
JE-TMA-41_scene01_cell00217,3190.958121827411,1212.5520304568531,scene01
