,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-017_c4_ORG.tif,R4,c4,ORG,BM-Her2N75-18-Scene-017,PD1,BM-Her2N75-18,1500.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-017_c5_ORG.tif,R4,c5,ORG,BM-Her2N75-18-Scene-017,LaminAC,BM-Her2N75-18,1500.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c1_ORG.tif,R4,c1,ORG,BM-Her2N75-18-Scene-049,DAPI,BM-Her2N75-18,15.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c2_ORG.tif,R4,c2,ORG,BM-Her2N75-18-Scene-049,Vim,BM-Her2N75-18,80.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c3_ORG.tif,R4,c3,ORG,BM-Her2N75-18-Scene-049,CK7,BM-Her2N75-18,35.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c4_ORG.tif,R4,c4,ORG,BM-Her2N75-18-Scene-049,PD1,BM-Her2N75-18,1500.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c5_ORG.tif,R4,c5,ORG,BM-Her2N75-18-Scene-049,LaminAC,BM-Her2N75-18,1500.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c1_ORG.tif,R4,c1,ORG,BM-Her2N75-18-Scene-059,DAPI,BM-Her2N75-18,15.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c2_ORG.tif,R4,c2,ORG,BM-Her2N75-18-Scene-059,Vim,BM-Her2N75-18,80.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c3_ORG.tif,R4,c3,ORG,BM-Her2N75-18-Scene-059,CK7,BM-Her2N75-18,35.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c4_ORG.tif,R4,c4,ORG,BM-Her2N75-18-Scene-059,PD1,BM-Her2N75-18,1500.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c5_ORG.tif,R4,c5,ORG,BM-Her2N75-18-Scene-059,LaminAC,BM-Her2N75-18,1500.0,4.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c1_ORG.tif,R5,c1,ORG,BM-Her2N75-18-Scene-017,DAPI,BM-Her2N75-18,15.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c2_ORG.tif,R5,c2,ORG,BM-Her2N75-18-Scene-017,aSMA,BM-Her2N75-18,80.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c3_ORG.tif,R5,c3,ORG,BM-Her2N75-18-Scene-017,CD68,BM-Her2N75-18,80.0,5.0
