img_index,rounds,color,imagetype,scene,marker,slide_marker,img_index,marker_y,rounds_y,color_y,minimum,max,exposure,refexp,location,slide,condition,meanpos,meanneg
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c5_ORG.tif,R4,c5,ORG,44294-116,LaminAC,44294-116_LaminAC,Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c5_ORG.tif,LaminAC,R4,c5,1700,65535,300,300,Nucleus,44294-116,cyclic_R1-5_normal,4063.7251529088785,636.6179184025947
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c5_ORG.tif,R4,c5,ORG,44290-112,LaminAC,44290-112_LaminAC,Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c5_ORG.tif,LaminAC,R4,c5,2202,65535,300,300,Nucleus,44290-112,cyclic_R1-5_tumor,3810.415648205805,1566.4530033376054
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c5_ORG.tif,R4,c5,ORG,44294-119,LaminAC,44294-119_LaminAC,Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c5_ORG.tif,LaminAC,R1,c5,2200,65535,250,250,Nucleus,44294-119,single_R4_normal,4710.224621783498,625.9150119287655
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c5_ORG.tif,R4,c5,ORG,44290-115,LaminAC,44290-115_LaminAC,Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c5_ORG.tif,LaminAC,R1,c5,1602,65535,250,250,Nucleus,44290-115,single_R4_tumor,3388.7805805706334,848.8456501141054
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c2_ORG.tif,R2,c2,ORG,44294-116,PCNA,44294-116_PCNA,Registered-R2_PCNA.Her2.ER.CD45_44294-116_c2_ORG.tif,PCNA,R2,c2,7002,65535,80,80,Nucleus,44294-116,cyclic_R1-5_normal,10971.103345212094,1550.3462307098055
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c2_ORG.tif,R2,c2,ORG,44290-112,PCNA,44290-112_PCNA,Registered-R2_PCNA.Her2.ER.CD45_44290-112_c2_ORG.tif,PCNA,R2,c2,2502,20000,80,80,Nucleus,44290-112,cyclic_R1-5_tumor,3213.5781117352744,1784.0622025426774
Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c2_ORG.tif,R2,c2,ORG,44294-117,PCNA,44294-117_PCNA,Registered-(R2)_PCNA.Her2.ER.CD45_44294-117_2017_10_25__4616_c2_ORG.tif,PCNA,R1,c2,7000,65535,60,60,Nucleus,44294-117,single_R2_normal,10491.781834695732,1721.0816254671251
Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c2_ORG.tif,R2,c2,ORG,44290-113,PCNA,44290-113_PCNA,Registered-(R2)_PCNA.Her2.ER.CD45_44290-113_2017_10_25__4615_c2_ORG.tif,PCNA,R1,c2,2052,65535,60,60,Nucleus,44290-113,single_R2_tumor,2605.660488210793,1508.6066223903908
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c4_ORG.tif,R4,c4,ORG,44294-116,PD1,44294-116_PD1,Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c4_ORG.tif,PD1,R4,c4,3502,65535,300,300,Ring,44294-116,cyclic_R1-5_normal,4098.118260869565,895.051608408049
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c4_ORG.tif,R4,c4,ORG,44290-112,PD1,44290-112_PD1,Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c4_ORG.tif,PD1,R4,c4,1802,65535,300,300,Ring,44290-112,cyclic_R1-5_tumor,2456.3786358292846,1200.5599098505884
