,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c2_ORG.tif,R2,c2,ORG,44290-112,PCNA,44290-112,80.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c3_ORG.tif,R2,c3,ORG,44290-112,Her2,44290-112,15.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c4_ORG.tif,R2,c4,ORG,44290-112,ER,44290-112,150.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c5_ORG.tif,R2,c5,ORG,44290-112,CD45,44290-112,750.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c1_ORG.tif,R2,c1,ORG,44294-116,DAPI,44294-116,10.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c2_ORG.tif,R2,c2,ORG,44294-116,PCNA,44294-116,80.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c3_ORG.tif,R2,c3,ORG,44294-116,Her2,44294-116,15.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c4_ORG.tif,R2,c4,ORG,44294-116,ER,44294-116,150.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_44294-116_c5_ORG.tif,R2,c5,ORG,44294-116,CD45,44294-116,750.0,2.0
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c1_ORG.tif,R3,c1,ORG,44290-112,DAPI,44290-112,20.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c2_ORG.tif,R3,c2,ORG,44290-112,pH3,44290-112,20.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c3_ORG.tif,R3,c3,ORG,44290-112,CK14,44290-112,10.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c4_ORG.tif,R3,c4,ORG,44290-112,CD44,44290-112,20.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c5_ORG.tif,R3,c5,ORG,44290-112,CK5,44290-112,500.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c1_ORG.tif,R3,c1,ORG,44294-116,DAPI,44294-116,15.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c2_ORG.tif,R3,c2,ORG,44294-116,pH3,44294-116,20.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c3_ORG.tif,R3,c3,ORG,44294-116,CK14,44294-116,2.5,3.0
