,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-06_c4_ORG.tif,R4,c4,ORG,HER2B-K175-Scene-06,pRB,HER2B-K175,1000.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-06_c5_ORG.tif,R4,c5,ORG,HER2B-K175-Scene-06,LamAC,HER2B-K175,250.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-08_c1_ORG.tif,R4,c1,ORG,HER2B-K175-Scene-08,DAPI,HER2B-K175,10.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-08_c2_ORG.tif,R4,c2,ORG,HER2B-K175-Scene-08,CK5,HER2B-K175,30.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-08_c3_ORG.tif,R4,c3,ORG,HER2B-K175-Scene-08,EGFR,HER2B-K175,350.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-08_c4_ORG.tif,R4,c4,ORG,HER2B-K175-Scene-08,pRB,HER2B-K175,1000.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-08_c5_ORG.tif,R4,c5,ORG,HER2B-K175-Scene-08,LamAC,HER2B-K175,250.0,4.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-02_c1_ORG.tif,R5,c1,ORG,HER2B-K175-Scene-02,DAPI,HER2B-K175,10.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-02_c2_ORG.tif,R5,c2,ORG,HER2B-K175-Scene-02,pHH3,HER2B-K175,20.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-02_c3_ORG.tif,R5,c3,ORG,HER2B-K175-Scene-02,PDPN,HER2B-K175,500.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-02_c4_ORG.tif,R5,c4,ORG,HER2B-K175-Scene-02,pERK,HER2B-K175,1000.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-02_c5_ORG.tif,R5,c5,ORG,HER2B-K175-Scene-02,FoxP3,HER2B-K175,600.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-06_c1_ORG.tif,R5,c1,ORG,HER2B-K175-Scene-06,DAPI,HER2B-K175,10.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-06_c2_ORG.tif,R5,c2,ORG,HER2B-K175-Scene-06,pHH3,HER2B-K175,20.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-06_c3_ORG.tif,R5,c3,ORG,HER2B-K175-Scene-06,PDPN,HER2B-K175,500.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-06_c4_ORG.tif,R5,c4,ORG,HER2B-K175-Scene-06,pERK,HER2B-K175,1000.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-06_c5_ORG.tif,R5,c5,ORG,HER2B-K175-Scene-06,FoxP3,HER2B-K175,600.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-08_c1_ORG.tif,R5,c1,ORG,HER2B-K175-Scene-08,DAPI,HER2B-K175,10.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-08_c2_ORG.tif,R5,c2,ORG,HER2B-K175-Scene-08,pHH3,HER2B-K175,20.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-08_c3_ORG.tif,R5,c3,ORG,HER2B-K175-Scene-08,PDPN,HER2B-K175,500.0,5.0
